source_run_id,source_experiment,source_macro_f1,promoted_experiment,split_seed,config_path
20260306_182250_s2b_qs_2900_despike_on,s2b_qs_2900_despike_on,0.4292063492063492,s2b_sel_s2b_qs_2900_despike_on_ss11,11,configs/experiment/stepb_select/s2b_sel_s2b_qs_2900_despike_on_ss11.yaml
20260306_182250_s2b_qs_2900_despike_on,s2b_qs_2900_despike_on,0.4292063492063492,s2b_sel_s2b_qs_2900_despike_on_ss22,22,configs/experiment/stepb_select/s2b_sel_s2b_qs_2900_despike_on_ss22.yaml
20260306_182250_s2b_qs_2900_despike_on,s2b_qs_2900_despike_on,0.4292063492063492,s2b_sel_s2b_qs_2900_despike_on_ss33,33,configs/experiment/stepb_select/s2b_sel_s2b_qs_2900_despike_on_ss33.yaml
20260306_180801_s2b_qs_1500_control,s2b_qs_1500_control,0.4099113197704747,s2b_sel_s2b_qs_1500_control_ss11,11,configs/experiment/stepb_select/s2b_sel_s2b_qs_1500_control_ss11.yaml
20260306_180801_s2b_qs_1500_control,s2b_qs_1500_control,0.4099113197704747,s2b_sel_s2b_qs_1500_control_ss22,22,configs/experiment/stepb_select/s2b_sel_s2b_qs_1500_control_ss22.yaml
20260306_180801_s2b_qs_1500_control,s2b_qs_1500_control,0.4099113197704747,s2b_sel_s2b_qs_1500_control_ss33,33,configs/experiment/stepb_select/s2b_sel_s2b_qs_1500_control_ss33.yaml
20260306_181254_s2b_qs_1500_despike_on,s2b_qs_1500_despike_on,0.3985880398671096,s2b_sel_s2b_qs_1500_despike_on_ss11,11,configs/experiment/stepb_select/s2b_sel_s2b_qs_1500_despike_on_ss11.yaml
20260306_181254_s2b_qs_1500_despike_on,s2b_qs_1500_despike_on,0.3985880398671096,s2b_sel_s2b_qs_1500_despike_on_ss22,22,configs/experiment/stepb_select/s2b_sel_s2b_qs_1500_despike_on_ss22.yaml
20260306_181254_s2b_qs_1500_despike_on,s2b_qs_1500_despike_on,0.3985880398671096,s2b_sel_s2b_qs_1500_despike_on_ss33,33,configs/experiment/stepb_select/s2b_sel_s2b_qs_1500_despike_on_ss33.yaml
20260306_181806_s2b_qs_2900_control,s2b_qs_2900_control,0.3903785103785104,s2b_sel_s2b_qs_2900_control_ss11,11,configs/experiment/stepb_select/s2b_sel_s2b_qs_2900_control_ss11.yaml
20260306_181806_s2b_qs_2900_control,s2b_qs_2900_control,0.3903785103785104,s2b_sel_s2b_qs_2900_control_ss22,22,configs/experiment/stepb_select/s2b_sel_s2b_qs_2900_control_ss22.yaml
20260306_181806_s2b_qs_2900_control,s2b_qs_2900_control,0.3903785103785104,s2b_sel_s2b_qs_2900_control_ss33,33,configs/experiment/stepb_select/s2b_sel_s2b_qs_2900_control_ss33.yaml
