run_id,experiment_name,center,model_family,macro_f1,balanced_accuracy,accuracy,delta_macro_f1_vs_baseline,baseline_run_id,phase1_pass_not_worse_0p01,phase1_pass_gain_0p005
20260306_201743_dlx_1500_single_step_residual,dlx_1500_single_step_residual,1500,single_step_residual,0.5018190408693598,0.5082010582010582,0.5084745762711864,-0.08971174688433825,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42,False,False
20260306_201826_dlx_1500_single_step_unet,dlx_1500_single_step_unet,1500,single_step_unet,0.4563384522734116,0.4882275132275133,0.4830508474576271,-0.13519233548028647,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42,False,False
20260306_201653_dlx_1500_efficientnet1d,dlx_1500_efficientnet1d,1500,efficientnet1d,0.3776175303258986,0.378042328042328,0.3813559322033898,-0.21391325742779943,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42,False,False
20260306_201859_dlx_1500_inception1d,dlx_1500_inception1d,1500,inception1d,0.35968660968660965,0.398015873015873,0.4152542372881356,-0.2318441780670884,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42,False,False
20260306_201602_dlx_1500_drsn1d,dlx_1500_drsn1d,1500,drsn1d,0.35606160616061605,0.3757936507936508,0.3813559322033898,-0.235469181593082,20260306_193949_dlqs_1500_ramannet_literature_5f_ss42,False,False
20260306_202146_dlx_2900_inception1d,dlx_2900_inception1d,2900,inception1d,0.40758340758340755,0.40952380952380957,0.4067796610169492,-0.08517021560499821,20260306_193409_dlqs_2900_spectral_transformer_literature,False,False
20260306_202111_dlx_2900_single_step_residual,dlx_2900_single_step_residual,2900,single_step_residual,0.37738816797515895,0.4433862433862434,0.4576271186440678,-0.11536545521324681,20260306_193409_dlqs_2900_spectral_transformer_literature,False,False
20260306_202016_dlx_2900_efficientnet1d,dlx_2900_efficientnet1d,2900,efficientnet1d,0.35273790536948435,0.353968253968254,0.3559322033898305,-0.14001571781892141,20260306_193409_dlqs_2900_spectral_transformer_literature,False,False
20260306_201928_dlx_2900_drsn1d,dlx_2900_drsn1d,2900,drsn1d,0.28451178451178455,0.36507936507936506,0.3559322033898305,-0.20824183867662122,20260306_193409_dlqs_2900_spectral_transformer_literature,False,False
20260306_202148_dlx_2900_single_step_unet,dlx_2900_single_step_unet,2900,single_step_unet,0.27240143369175623,0.34920634920634924,0.3559322033898305,-0.22035218949664953,20260306_193409_dlqs_2900_spectral_transformer_literature,False,False
