strategy,n_rows,macro_f1_mean,balanced_accuracy_mean,accuracy_mean
h1_router_allpol_110_fb_cortex_striatum,64,0.7442440709035536,0.7583333333333333,0.811659995437569
h1_router_fb_cortex_striatum,64,0.7442440709035536,0.7583333333333333,0.811659995437569
h1_router_allpol_010_fb_striatum,64,0.7292468496213532,0.7444444444444445,0.7831869111280876
h1_router_allpol_100_fb_cortex,64,0.7134612069129691,0.7305555555555555,0.7788664613572702
h1_router_allpol_000_all_primary,64,0.6795050948977088,0.7166666666666667,0.7503933770477889
h1_primary_proxy_top3_top4_a007,64,0.6795050948977088,0.7166666666666667,0.7503933770477889
h1_router_allpol_111_fb_cerebellum_cortex_striatum,64,0.636341918664335,0.6638888888888889,0.7037498806340718
h1_fallback_proxy_top1_top1_a017,64,0.636341918664335,0.6638888888888889,0.7037498806340718
h1_router_allpol_011_fb_cerebellum_striatum,64,0.6226972927919837,0.65,0.6752767963245905
h1_router_allpol_101_fb_cerebellum_cortex,64,0.6066989519256047,0.6361111111111111,0.670956346553773
h1_router_fb_cerebellum,64,0.574570225267235,0.6222222222222222,0.6424832622442916
h1_router_allpol_001_fb_cerebellum,64,0.574570225267235,0.6222222222222222,0.6424832622442916
