holdout_control,holdout_endo,holdout_exo,strategy,macro_f1,balanced_accuracy,accuracy
mk1,mend1,mexo1,h1_fallback_proxy_top1_top1_a017,0.5277777777777778,0.5555555555555555,0.5555555555555556
mk1,mend1,mexo1,h1_primary_proxy_top3_top4_a007,0.6481481481481483,0.6666666666666666,0.6666666666666666
mk1,mend1,mexo1,h1_router_fb_cerebellum,0.6481481481481483,0.6666666666666666,0.6666666666666666
mk1,mend1,mexo1,h1_router_fb_cortex_striatum,0.5277777777777778,0.5555555555555555,0.5555555555555556
mk1,mend1,mexo2a,h1_fallback_proxy_top1_top1_a017,0.75,0.7777777777777777,0.8333333333333334
mk1,mend1,mexo2a,h1_primary_proxy_top3_top4_a007,0.29012345679012347,0.3888888888888889,0.2916666666666667
mk1,mend1,mexo2a,h1_router_fb_cerebellum,0.29012345679012347,0.3888888888888889,0.2916666666666667
mk1,mend1,mexo2a,h1_router_fb_cortex_striatum,0.75,0.7777777777777777,0.8333333333333334
mk1,mend1,mexo2b,h1_fallback_proxy_top1_top1_a017,0.6863636363636364,0.7222222222222222,0.75
mk1,mend1,mexo2b,h1_primary_proxy_top3_top4_a007,0.7088888888888888,0.7222222222222223,0.7916666666666666
mk1,mend1,mexo2b,h1_router_fb_cerebellum,0.7088888888888888,0.7222222222222223,0.7916666666666666
mk1,mend1,mexo2b,h1_router_fb_cortex_striatum,0.6863636363636364,0.7222222222222222,0.75
mk1,mend1,mexo3,h1_fallback_proxy_top1_top1_a017,0.4157509157509158,0.5,0.4166666666666667
mk1,mend1,mexo3,h1_primary_proxy_top3_top4_a007,0.7088888888888888,0.7222222222222223,0.7916666666666666
mk1,mend1,mexo3,h1_router_fb_cerebellum,0.3888888888888889,0.4444444444444445,0.375
mk1,mend1,mexo3,h1_router_fb_cortex_striatum,0.75,0.7777777777777777,0.8333333333333334
mk1,mend2a,mexo1,h1_fallback_proxy_top1_top1_a017,0.7857142857142857,0.7777777777777778,0.8333333333333334
mk1,mend2a,mexo1,h1_primary_proxy_top3_top4_a007,0.9008080808080808,0.888888888888889,0.9166666666666666
mk1,mend2a,mexo1,h1_router_fb_cerebellum,0.9008080808080808,0.888888888888889,0.9166666666666666
mk1,mend2a,mexo1,h1_router_fb_cortex_striatum,0.7857142857142857,0.7777777777777778,0.8333333333333334
mk1,mend2a,mexo2a,h1_fallback_proxy_top1_top1_a017,1.0,1.0,1.0
mk1,mend2a,mexo2a,h1_primary_proxy_top3_top4_a007,0.47826086956521735,0.6111111111111112,0.5666666666666667
mk1,mend2a,mexo2a,h1_router_fb_cerebellum,0.47826086956521735,0.6111111111111112,0.5666666666666667
mk1,mend2a,mexo2a,h1_router_fb_cortex_striatum,1.0,1.0,1.0
mk1,mend2a,mexo2b,h1_fallback_proxy_top1_top1_a017,0.9440559440559441,0.9444444444444445,0.9333333333333333
mk1,mend2a,mexo2b,h1_primary_proxy_top3_top4_a007,0.9563636363636364,0.9444444444444445,0.9666666666666667
mk1,mend2a,mexo2b,h1_router_fb_cerebellum,0.9563636363636364,0.9444444444444445,0.9666666666666667
mk1,mend2a,mexo2b,h1_router_fb_cortex_striatum,0.9440559440559441,0.9444444444444445,0.9333333333333333
mk1,mend2a,mexo3,h1_fallback_proxy_top1_top1_a017,0.6103896103896104,0.7222222222222222,0.6666666666666666
mk1,mend2a,mexo3,h1_primary_proxy_top3_top4_a007,0.9563636363636364,0.9444444444444445,0.9666666666666667
mk1,mend2a,mexo3,h1_router_fb_cerebellum,0.580952380952381,0.6666666666666666,0.6333333333333333
mk1,mend2a,mexo3,h1_router_fb_cortex_striatum,1.0,1.0,1.0
mk1,mend2b,mexo1,h1_fallback_proxy_top1_top1_a017,0.7857142857142857,0.7777777777777778,0.8333333333333334
mk1,mend2b,mexo1,h1_primary_proxy_top3_top4_a007,0.9008080808080808,0.888888888888889,0.9166666666666666
mk1,mend2b,mexo1,h1_router_fb_cerebellum,0.9008080808080808,0.888888888888889,0.9166666666666666
mk1,mend2b,mexo1,h1_router_fb_cortex_striatum,0.7857142857142857,0.7777777777777778,0.8333333333333334
