holdout_control,holdout_endo,holdout_exo,strategy,macro_f1,balanced_accuracy,accuracy,region_coverage,is_full_region_holdout,is_control_cerebellum_only_mouse,is_endo_cerebellum_only_mouse,is_exo_cerebellum_only_mouse,n_cerebellum_only_mice_holdout,is_mk3_control_holdout,is_cerebellum_stress_holdout,regions_control_str,regions_endo_str,regions_exo_str,holdout_regions_str
mk1,mend2a,mexo3,h1_fallback_proxy_top1_top1_a017,0.6103896103896104,0.7222222222222222,0.6666666666666666,3,true,0,0,1,1,false,true,cortex,cortex|striatum,cerebellum,cortex|striatum|cerebellum
mk1,mend2a,mexo3,h1_primary_proxy_top3_top4_a007,0.9563636363636364,0.9444444444444445,0.9666666666666667,3,true,0,0,1,1,false,true,cortex,cortex|striatum,cerebellum,cortex|striatum|cerebellum
mk1,mend2a,mexo3,h1_router_fb_cerebellum,0.580952380952381,0.6666666666666666,0.6333333333333333,3,true,0,0,1,1,false,true,cortex,cortex|striatum,cerebellum,cortex|striatum|cerebellum
mk1,mend2a,mexo3,h1_router_fb_cortex_striatum,1.0,1.0,1.0,3,true,0,0,1,1,false,true,cortex,cortex|striatum,cerebellum,cortex|cerebellum|striatum
mk1,mend2b,mexo2b,h1_fallback_proxy_top1_top1_a017,0.9440559440559441,0.9444444444444445,0.9333333333333333,2,false,0,0,0,0,false,false,cortex,cortex|striatum,cortex|striatum,striatum|cortex
mk1,mend2b,mexo2b,h1_primary_proxy_top3_top4_a007,0.9563636363636364,0.9444444444444445,0.9666666666666667,2,false,0,0,0,0,false,false,cortex,cortex|striatum,cortex|striatum,cortex|striatum
mk1,mend2b,mexo2b,h1_router_fb_cerebellum,0.9563636363636364,0.9444444444444445,0.9666666666666667,2,false,0,0,0,0,false,false,cortex,cortex|striatum,cortex|striatum,striatum|cortex
mk1,mend2b,mexo2b,h1_router_fb_cortex_striatum,0.9440559440559441,0.9444444444444445,0.9333333333333333,2,false,0,0,0,0,false,false,cortex,cortex|striatum,cortex|striatum,cortex|striatum
mk1,mend3,mexo2a,h1_fallback_proxy_top1_top1_a017,0.5555555555555555,0.6666666666666666,0.75,3,true,0,1,0,1,false,true,cortex,cerebellum,cortex|striatum,cortex|striatum|cerebellum
mk1,mend3,mexo2a,h1_primary_proxy_top3_top4_a007,0.1149425287356322,0.2777777777777778,0.20833333333333334,3,true,0,1,0,1,false,true,cortex,cerebellum,cortex|striatum,cortex|cerebellum|striatum
