strategy,n_rows,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,slice
h1_router_fb_cortex_striatum,18,0.6981274245833632,0.1912210089476291,0.7222222222222222,0.17064957703107847,0.7836990351696235,0.13571099226957323,cerebellum_stress
h1_primary_proxy_top3_top4_a007,18,0.6288583033173973,0.26125722004584456,0.6697530864197531,0.2219542683717678,0.7145891690009337,0.230174292155609,cerebellum_stress
h1_fallback_proxy_top1_top1_a017,18,0.4982095343599404,0.1624056530094076,0.54320987654321,0.17459940200962584,0.5848843241000103,0.17310381162039745,cerebellum_stress
h1_router_fb_cerebellum,18,0.43631898198059116,0.19544166688713055,0.49074074074074076,0.19770836705188755,0.5157744579313207,0.21205215286514092,cerebellum_stress
h1_router_fb_cortex_striatum,16,0.715233419996351,0.1941895400949829,0.7388888888888889,0.17299111516469834,0.7968399859943978,0.1380046972688267,full_region
h1_primary_proxy_top3_top4_a007,16,0.6373056585721393,0.275225040265667,0.6798611111111111,0.23332341248750588,0.7190913865546219,0.24429402858206697,full_region
h1_fallback_proxy_top1_top1_a017,16,0.5344404885398224,0.12904155450877994,0.5847222222222223,0.13264482728610763,0.6312091503267974,0.11484200484661743,full_region
h1_router_fb_cerebellum,16,0.46481361711305447,0.18670003032624854,0.5256944444444445,0.17933203680287665,0.5534605508870215,0.1927620559059228,full_region
h1_router_fb_cortex_striatum,24,0.7484249057668597,0.19475266870736535,0.7662037037037037,0.17505398804268218,0.8187927948957361,0.1371274232491583,overall
h1_primary_proxy_top3_top4_a007,24,0.6474710483153688,0.2554728790339085,0.6898148148148149,0.2161716546880529,0.7289974323062558,0.22164109256851547,overall
h1_fallback_proxy_top1_top1_a017,24,0.5984864880992926,0.23228312347061428,0.6319444444444444,0.2241537434391834,0.6696817615935262,0.2144606538313111,overall
h1_router_fb_cerebellum,24,0.5030665573127642,0.23645725903183284,0.5555555555555556,0.22605392219127032,0.579886399004046,0.23541155216140525,overall
