holdout_control,holdout_endo,holdout_exo,strategy,macro_f1,balanced_accuracy,accuracy,region_coverage,is_full_region_holdout,is_control_cerebellum_only_mouse,is_endo_cerebellum_only_mouse,is_exo_cerebellum_only_mouse,n_cerebellum_only_mice_holdout,is_mk3_control_holdout,is_cerebellum_stress_holdout,regions_control_str,regions_endo_str,regions_exo_str,holdout_regions_str
mk1,mend1,mexo1,h1_fallback_proxy_top1_top1_a017,0.5277777777777778,0.5555555555555555,0.5555555555555556,1,false,0,0,0,0,false,false,cortex,cortex,cortex,cortex
mk1,mend1,mexo1,h1_primary_proxy_top3_top4_a007,0.6481481481481483,0.6666666666666666,0.6666666666666666,1,false,0,0,0,0,false,false,cortex,cortex,cortex,cortex
mk1,mend1,mexo1,h1_router_fb_cerebellum,0.6481481481481483,0.6666666666666666,0.6666666666666666,1,false,0,0,0,0,false,false,cortex,cortex,cortex,cortex
mk1,mend1,mexo1,h1_router_fb_cortex_striatum,0.5277777777777778,0.5555555555555555,0.5555555555555556,1,false,0,0,0,0,false,false,cortex,cortex,cortex,cortex
mk1,mend1,mexo2a,h1_fallback_proxy_top1_top1_a017,0.75,0.7777777777777777,0.8333333333333334,2,false,0,0,0,0,false,false,cortex,cortex,cortex|striatum,striatum|cortex
mk1,mend1,mexo2a,h1_primary_proxy_top3_top4_a007,0.29012345679012347,0.3888888888888889,0.2916666666666667,2,false,0,0,0,0,false,false,cortex,cortex,cortex|striatum,cortex|striatum
mk1,mend1,mexo2a,h1_router_fb_cerebellum,0.29012345679012347,0.3888888888888889,0.2916666666666667,2,false,0,0,0,0,false,false,cortex,cortex,cortex|striatum,striatum|cortex
mk1,mend1,mexo2a,h1_router_fb_cortex_striatum,0.75,0.7777777777777777,0.8333333333333334,2,false,0,0,0,0,false,false,cortex,cortex,cortex|striatum,cortex|striatum
mk1,mend1,mexo2b,h1_fallback_proxy_top1_top1_a017,0.6863636363636364,0.7222222222222222,0.75,2,false,0,0,0,0,false,false,cortex,cortex,cortex|striatum,cortex|striatum
mk1,mend1,mexo2b,h1_primary_proxy_top3_top4_a007,0.7088888888888888,0.7222222222222223,0.7916666666666666,2,false,0,0,0,0,false,false,cortex,cortex,cortex|striatum,cortex|striatum
mk1,mend1,mexo2b,h1_router_fb_cerebellum,0.7088888888888888,0.7222222222222223,0.7916666666666666,2,false,0,0,0,0,false,false,cortex,cortex,cortex|striatum,striatum|cortex
mk1,mend1,mexo2b,h1_router_fb_cortex_striatum,0.6863636363636364,0.7222222222222222,0.75,2,false,0,0,0,0,false,false,cortex,cortex,cortex|striatum,striatum|cortex
mk1,mend1,mexo3,h1_fallback_proxy_top1_top1_a017,0.4157509157509158,0.5,0.4166666666666667,2,false,0,0,1,1,false,true,cortex,cortex,cerebellum,cerebellum|cortex
mk1,mend1,mexo3,h1_primary_proxy_top3_top4_a007,0.7088888888888888,0.7222222222222223,0.7916666666666666,2,false,0,0,1,1,false,true,cortex,cortex,cerebellum,cerebellum|cortex
