strategy,n_rows,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,slice
h1_router_fb_cortex_striatum,37,0.6796294379053,0.20297589375460787,0.7036036036036036,0.18839903901454833,0.7665650371532724,0.1628150599767873,cerebellum_stress
h1_primary_proxy_top3_top4_a007,37,0.6309209799980591,0.25529551046997273,0.6720720720720721,0.21624082275731402,0.7186984539925716,0.21878539346680753,cerebellum_stress
h1_fallback_proxy_top1_top1_a017,37,0.49298787727530013,0.15526964370661456,0.5402402402402402,0.16229558951769274,0.5799097034391152,0.17056979583914905,cerebellum_stress
h1_router_fb_cerebellum,37,0.44941201631291516,0.18840142319590544,0.5087087087087088,0.18142733763632415,0.5320431202784144,0.19759567578861686,cerebellum_stress
h1_router_fb_cortex_striatum,30,0.7200826436228736,0.1929862759964319,0.7411111111111112,0.17575840649663343,0.805326797385621,0.13429277907491097,full_region
h1_primary_proxy_top3_top4_a007,30,0.6510450605538503,0.2765954322560311,0.6911111111111111,0.23400559969721918,0.7362745098039216,0.2357649543377655,full_region
h1_fallback_proxy_top1_top1_a017,30,0.5419272032508241,0.12174651404852155,0.59,0.12615916346159692,0.6429396202925614,0.11136096923743684,full_region
h1_router_fb_cerebellum,30,0.47918803400291593,0.18996550820990066,0.5399999999999999,0.1778878969294677,0.5738873327108621,0.18857031961290432,full_region
h1_router_fb_cortex_striatum,64,0.7442440709035536,0.19517953708757282,0.7583333333333333,0.1815948247723151,0.811659995437569,0.1529496644378116,overall
h1_primary_proxy_top3_top4_a007,64,0.6795050948977088,0.24954518549028887,0.7166666666666667,0.2088010622527663,0.7503933770477889,0.21275510072263015,overall
h1_fallback_proxy_top1_top1_a017,64,0.636341918664335,0.22610945299789487,0.6638888888888889,0.21180152582398418,0.7037498806340718,0.2083028867599253,overall
h1_router_fb_cerebellum,64,0.574570225267235,0.2526527613629922,0.6222222222222222,0.2255135450577351,0.6424832622442916,0.23622931368212202,overall
