strategy,n,lock_overall_mean,lock_overall_median,lock_worst_mean,lock_worst_median,lock_win_rate,tag
h1_router_fb_cortex_striatum,40,0.7215087019063312,0.7186463767713767,0.6903834844669409,0.686861720654824,0.5,n24
p2_top1_top3_a007,40,0.6722459519310393,0.6706707791569138,0.6394178117096359,0.6265194424979826,0.175,n24
p2_top2_top4_a005,40,0.6407984375756087,0.6407709674757064,0.6068647735551782,0.6153570161568246,0.025,n24
p2_top4_top4_a006,40,0.6397647464503228,0.6383474247827672,0.6055959869850989,0.6139967201955505,0.025,n24
p2_top3_top1_a033,40,0.6435630455099786,0.651908599668475,0.5897943866858307,0.5855478568526147,0.0,n24
fallback_top1_top1_a017,40,0.5347368248843611,0.5499734831065596,0.5438522418793466,0.5456754372417989,0.275,n24
old_single_old2900_a011,40,0.5203458793916168,0.522403050301776,0.5194434090338209,0.5161087749277179,0.0,n24
baseline1500_tuned2900_a011,40,0.4953001495439654,0.4949871193875628,0.5083404863491218,0.512165179999089,0.0,n24
new_primary_top3_top4_a007,40,0.5071600866586966,0.5115230943853788,0.4740425217537266,0.4843983343498756,0.0,n24
h1_router_fb_cortex_striatum,40,0.7307105239375354,0.7306244899204669,0.6975254480963703,0.6962883572872626,0.4,n36
p2_top1_top3_a007,40,0.6943193504427635,0.6949491208205831,0.6486870410041783,0.6525472546302342,0.25,n36
p2_top2_top4_a005,40,0.6684726234889514,0.6656568928343731,0.620638093471426,0.6248161518036568,0.025,n36
p2_top4_top4_a006,40,0.6674731553379029,0.6637726943912667,0.619314395902663,0.6209561505873338,0.025,n36
p2_top3_top1_a033,40,0.6542054710305796,0.6443441859863486,0.5905935743970294,0.5930762939067731,0.0,n36
fallback_top1_top1_a017,40,0.5282747570143138,0.531082284344339,0.5476532086136398,0.5629287457399744,0.3,n36
old_single_old2900_a011,40,0.5190196950778322,0.5197183274662445,0.5221338298811276,0.5174145346853338,0.0,n36
baseline1500_tuned2900_a011,40,0.4870893611676624,0.49319729070305396,0.5133938126928893,0.5180648382283586,0.0,n36
new_primary_top3_top4_a007,40,0.5183133628353123,0.5291313217023654,0.4904105753875406,0.4854256544384215,0.0,n36
