holdout_control,holdout_endo,holdout_exo,strategy,macro_f1,balanced_accuracy,accuracy
mk1,mend2a,mexo3,fallback_top1_top1_a017,0.46700336700336703,0.5277777777777778,0.4666666666666667
mk1,mend2a,mexo3,h1_router_fb_cortex_striatum,0.46700336700336703,0.5277777777777778,0.4666666666666667
mk1,mend2a,mexo3,new_primary_top3_top4_a007,0.46700336700336703,0.5277777777777778,0.4666666666666667
mk1,mend2b,mexo2b,fallback_top1_top1_a017,0.36592707258341933,0.4444444444444445,0.36666666666666664
mk1,mend2b,mexo2b,h1_router_fb_cortex_striatum,0.36592707258341933,0.4444444444444445,0.36666666666666664
mk1,mend2b,mexo2b,new_primary_top3_top4_a007,0.40028816001356043,0.47222222222222227,0.4
mk1,mend3,mexo2a,fallback_top1_top1_a017,0.48099027409372236,0.5555555555555555,0.6666666666666666
mk1,mend3,mexo2a,h1_router_fb_cortex_striatum,0.48099027409372236,0.5555555555555555,0.6666666666666666
mk1,mend3,mexo2a,new_primary_top3_top4_a007,0.44252873563218387,0.5,0.625
mk1,mend3,mexo2b,fallback_top1_top1_a017,0.3814814814814815,0.4444444444444444,0.4166666666666667
mk1,mend3,mexo2b,h1_router_fb_cortex_striatum,0.3824561403508772,0.4444444444444444,0.4166666666666667
mk1,mend3,mexo2b,new_primary_top3_top4_a007,0.30382819794584504,0.3888888888888889,0.3333333333333333
mk2a,mend3,mexo3,fallback_top1_top1_a017,0.40881642512077293,0.3888888888888889,0.43333333333333335
mk2a,mend3,mexo3,h1_router_fb_cortex_striatum,0.40881642512077293,0.3888888888888889,0.43333333333333335
mk2a,mend3,mexo3,new_primary_top3_top4_a007,0.40881642512077293,0.3888888888888889,0.43333333333333335
mk2b,mend1,mexo2a,fallback_top1_top1_a017,0.6248433048433047,0.6388888888888888,0.7333333333333333
mk2b,mend1,mexo2a,h1_router_fb_cortex_striatum,0.6248433048433047,0.6388888888888888,0.7333333333333333
mk2b,mend1,mexo2a,new_primary_top3_top4_a007,0.6933333333333334,0.6944444444444443,0.7666666666666667
mk2b,mend2a,mexo2b,fallback_top1_top1_a017,0.4085595776772248,0.47222222222222227,0.4722222222222222
mk2b,mend2a,mexo2b,h1_router_fb_cortex_striatum,0.4085595776772248,0.47222222222222227,0.4722222222222222
mk2b,mend2a,mexo2b,new_primary_top3_top4_a007,0.2851547199373286,0.38888888888888884,0.3888888888888889
mk3,mend2a,mexo1,fallback_top1_top1_a017,0.20476190476190478,0.25,0.21428571428571427
mk3,mend2a,mexo1,h1_router_fb_cortex_striatum,0.20476190476190478,0.25,0.21428571428571427
mk3,mend2a,mexo1,new_primary_top3_top4_a007,0.30501089324618735,0.3333333333333333,0.35714285714285715
mk3,mend2a,mexo2a,fallback_top1_top1_a017,0.31603553062178585,0.3888888888888889,0.4117647058823529
mk3,mend2a,mexo2a,h1_router_fb_cortex_striatum,0.31603553062178585,0.3888888888888889,0.4117647058823529
mk3,mend2a,mexo2a,new_primary_top3_top4_a007,0.36904761904761907,0.4166666666666667,0.4411764705882353
mk3,mend2b,mexo2a,fallback_top1_top1_a017,0.4884259259259259,0.5222222222222223,0.5294117647058824
mk3,mend2b,mexo2a,h1_router_fb_cortex_striatum,0.4884259259259259,0.5222222222222223,0.5294117647058824
mk3,mend2b,mexo2a,new_primary_top3_top4_a007,0.5625,0.5777777777777778,0.5882352941176471
mk3,mend3,mexo2b,fallback_top1_top1_a017,0.28518518518518515,0.32222222222222224,0.2857142857142857
mk3,mend3,mexo2b,h1_router_fb_cortex_striatum,0.307890499194847,0.3333333333333333,0.32142857142857145
mk3,mend3,mexo2b,new_primary_top3_top4_a007,0.3082010582010582,0.3333333333333333,0.32142857142857145
mk3,mend3,mexo3,fallback_top1_top1_a017,0.3055555555555555,0.3333333333333333,0.2857142857142857
mk3,mend3,mexo3,h1_router_fb_cortex_striatum,0.375,0.3611111111111111,0.35714285714285715
mk3,mend3,mexo3,new_primary_top3_top4_a007,0.375,0.3611111111111111,0.35714285714285715
