run_dir,n_rows,n_holdout_rows,n_cv_rows,holdout_groups,holdout_mice_seen,cv_overlap_with_holdout_groups,holdout_rows_outside_holdout_groups,holdout_groups_missing_in_holdout_split,ok,center,holdout_control,holdout_endo,holdout_exo
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_033855_p2lk_1500_ramannet_ss11__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,118,30,88,"[""mk1"", ""mend2a"", ""mexo3""]","[""mend2a"", ""mexo3"", ""mk1""]",[],[],[],true,1500,mk1,mend2a,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_033908_p2lk_1500_ramannet_ss22__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,118,30,88,"[""mk1"", ""mend2a"", ""mexo3""]","[""mend2a"", ""mexo3"", ""mk1""]",[],[],[],true,1500,mk1,mend2a,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_033920_p2lk_1500_ramannet_ss33__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,118,30,88,"[""mk1"", ""mend2a"", ""mexo3""]","[""mend2a"", ""mexo3"", ""mk1""]",[],[],[],true,1500,mk1,mend2a,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_033933_p2lk_1500_ramannet_ss42__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,118,30,88,"[""mk1"", ""mend2a"", ""mexo3""]","[""mend2a"", ""mexo3"", ""mk1""]",[],[],[],true,1500,mk1,mend2a,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034025_p2lk_2900_trpatch8_ss11__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,30,88,"[""mk1"", ""mend2a"", ""mexo3""]","[""mend2a"", ""mexo3"", ""mk1""]",[],[],[],true,2900,mk1,mend2a,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034126_p2lk_2900_trpatch8_ss22__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,30,88,"[""mk1"", ""mend2a"", ""mexo3""]","[""mend2a"", ""mexo3"", ""mk1""]",[],[],[],true,2900,mk1,mend2a,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034225_p2lk_2900_trpatch8_ss33__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,30,88,"[""mk1"", ""mend2a"", ""mexo3""]","[""mend2a"", ""mexo3"", ""mk1""]",[],[],[],true,2900,mk1,mend2a,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034331_p2lk_2900_trpatch8_ss42__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,30,88,"[""mk1"", ""mend2a"", ""mexo3""]","[""mend2a"", ""mexo3"", ""mk1""]",[],[],[],true,2900,mk1,mend2a,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034355_p2lk_1500_ramannet_ss11__h1ta_c-mk1__e-mend2b__x-mexo2b_s42__m01_p2lk_1500_ramannet_ss11__1500,118,30,88,"[""mk1"", ""mend2b"", ""mexo2b""]","[""mend2b"", ""mexo2b"", ""mk1""]",[],[],[],true,1500,mk1,mend2b,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034417_p2lk_1500_ramannet_ss22__h1ta_c-mk1__e-mend2b__x-mexo2b_s42__m02_p2lk_1500_ramannet_ss22__1500,118,30,88,"[""mk1"", ""mend2b"", ""mexo2b""]","[""mend2b"", ""mexo2b"", ""mk1""]",[],[],[],true,1500,mk1,mend2b,mexo2b
