run_id,created_utc,experiment_name,center,sample_level,model_family,n_samples,macro_f1,balanced_accuracy,auc_ovr_macro,accuracy,config_hash_sha256,data_fingerprint_sha256,git_commit,git_dirty
20260307_033855_p2lk_1500_ramannet_ss11__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,2026-03-07T03:38:55.142001+00:00,p2lk_1500_ramannet_ss11__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,1500,file_mean,ramannet,118,0.6556340956340957,0.651797385620915,0.7901828531540329,0.6477272727272727,7fb49abc84e11e24705db160ca95686b3592002e949fba27f9bfbd691fa7745f,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,4ffea0e2587eabfd2a6c348029cd28ad5c49dafe,true
20260307_033908_p2lk_1500_ramannet_ss22__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,2026-03-07T03:39:08.634683+00:00,p2lk_1500_ramannet_ss22__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,1500,file_mean,ramannet,118,0.6739944602013567,0.6834967320261439,0.852828771395212,0.6704545454545454,ad65dd47485c00d5974a3b28e30773da4cb2aad1e4a45cfc9d62f9924be70a6c,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,4ffea0e2587eabfd2a6c348029cd28ad5c49dafe,true
20260307_033920_p2lk_1500_ramannet_ss33__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,2026-03-07T03:39:20.743479+00:00,p2lk_1500_ramannet_ss33__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,1500,file_mean,ramannet,118,0.636852394916911,0.6392156862745099,0.7901279956427015,0.6477272727272727,cf66dbfff36b1b4bee87b44d437021fd06c36ca4aa9bbba977b34ed93ac4ea2d,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,4ffea0e2587eabfd2a6c348029cd28ad5c49dafe,true
20260307_033933_p2lk_1500_ramannet_ss42__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,2026-03-07T03:39:33.860933+00:00,p2lk_1500_ramannet_ss42__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,1500,file_mean,ramannet,118,0.5274740908543726,0.5490196078431372,0.8031927208543058,0.5795454545454546,ec16368a922e76901674609ed1905e01e26bbb6a157ae6e9107e3140895d0d30,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,4ffea0e2587eabfd2a6c348029cd28ad5c49dafe,true
20260307_034025_p2lk_2900_trpatch8_ss11__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,2026-03-07T03:40:25.748399+00:00,p2lk_2900_trpatch8_ss11__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,2900,file_mean,spectral_transformer,118,0.5474969474969474,0.5676470588235295,0.7925541786398468,0.5454545454545454,93843e802327b7dd6681e732da31c7ae6187a4206485563d3af0acc76cbd7318,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,4ffea0e2587eabfd2a6c348029cd28ad5c49dafe,true
20260307_034126_p2lk_2900_trpatch8_ss22__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,2026-03-07T03:41:26.288932+00:00,p2lk_2900_trpatch8_ss22__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,2900,file_mean,spectral_transformer,118,0.6793650793650793,0.6686274509803921,0.7912560276744798,0.6818181818181818,64d6d21ba14e7469a62fe9e15670759dcf73e6709fb47e00d2d0d9e815fd4552,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,4ffea0e2587eabfd2a6c348029cd28ad5c49dafe,true
20260307_034225_p2lk_2900_trpatch8_ss33__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,2026-03-07T03:42:25.737763+00:00,p2lk_2900_trpatch8_ss33__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,2900,file_mean,spectral_transformer,118,0.669151138716356,0.6686274509803921,0.8025459637079608,0.6818181818181818,aa21c1699d38f73afe4c37d34bbe8ac592b0fb6fba2bdb1e058989ab3e3d28fe,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,4ffea0e2587eabfd2a6c348029cd28ad5c49dafe,true
20260307_034331_p2lk_2900_trpatch8_ss42__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,2026-03-07T03:43:31.479256+00:00,p2lk_2900_trpatch8_ss42__h1ta_c-mk1__e-mend2a__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,2900,file_mean,spectral_transformer,118,0.5601029601029601,0.565686274509804,0.8203554919333634,0.5909090909090909,8ba78c82271fa6b840ebe0f5ab35c960023be9544ceeb3ecd5a12a6d3d2fd9a6,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,4ffea0e2587eabfd2a6c348029cd28ad5c49dafe,true
20260307_034355_p2lk_1500_ramannet_ss11__h1ta_c-mk1__e-mend2b__x-mexo2b_s42__m01_p2lk_1500_ramannet_ss11__1500,2026-03-07T03:43:55.654657+00:00,p2lk_1500_ramannet_ss11__h1ta_c-mk1__e-mend2b__x-mexo2b_s42__m01_p2lk_1500_ramannet_ss11__1500,1500,file_mean,ramannet,118,0.438357671259247,0.448202614379085,0.7422254835443117,0.4318181818181818,a4982adc678bfbc818d1c8f9df346aba4397d0a2f88084533a53b309f7b6350a,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,4ffea0e2587eabfd2a6c348029cd28ad5c49dafe,true
20260307_034417_p2lk_1500_ramannet_ss22__h1ta_c-mk1__e-mend2b__x-mexo2b_s42__m02_p2lk_1500_ramannet_ss22__1500,2026-03-07T03:44:17.740752+00:00,p2lk_1500_ramannet_ss22__h1ta_c-mk1__e-mend2b__x-mexo2b_s42__m02_p2lk_1500_ramannet_ss22__1500,1500,file_mean,ramannet,118,0.708215554105965,0.7044117647058824,0.879688086920592,0.7045454545454546,ed84281f2f9c702eb79de7e1337b0a9cf02fc44ae3472594f7edcf68f0cc873e,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,4ffea0e2587eabfd2a6c348029cd28ad5c49dafe,true
