holdout_control,holdout_endo,holdout_exo,strategy,macro_f1,balanced_accuracy,accuracy
mk1,mend3,mexo2a,fallback_top1_top1_a017,0.4382716049382716,0.47222222222222215,0.5833333333333334
mk1,mend3,mexo2a,h1_router_fb_cortex_striatum,0.4382716049382716,0.47222222222222215,0.5833333333333334
mk1,mend3,mexo2a,new_primary_top3_top4_a007,0.4523809523809524,0.5,0.625
mk2a,mend2b,mexo3,fallback_top1_top1_a017,0.4393939393939394,0.4444444444444445,0.4444444444444444
mk2a,mend2b,mexo3,h1_router_fb_cortex_striatum,0.5212121212121212,0.5277777777777778,0.5277777777777778
mk2a,mend2b,mexo3,new_primary_top3_top4_a007,0.5207847707847708,0.5277777777777778,0.5277777777777778
mk2b,mend2a,mexo3,fallback_top1_top1_a017,0.5555555555555555,0.5555555555555555,0.5555555555555556
mk2b,mend2a,mexo3,h1_router_fb_cortex_striatum,0.6359244620114185,0.6388888888888888,0.6388888888888888
mk2b,mend2a,mexo3,new_primary_top3_top4_a007,0.514985380116959,0.5277777777777778,0.5277777777777778
mk2b,mend2b,mexo2a,fallback_top1_top1_a017,0.6815044858523119,0.6944444444444445,0.6944444444444444
mk2b,mend2b,mexo2a,h1_router_fb_cortex_striatum,0.6815044858523119,0.6944444444444445,0.6944444444444444
mk2b,mend2b,mexo2a,new_primary_top3_top4_a007,0.5632798573975045,0.611111111111111,0.6111111111111112
mk3,mend1,mexo2b,fallback_top1_top1_a017,0.2803418803418803,0.3,0.2857142857142857
mk3,mend1,mexo2b,h1_router_fb_cortex_striatum,0.2803418803418803,0.3,0.2857142857142857
mk3,mend1,mexo2b,new_primary_top3_top4_a007,0.2803418803418803,0.3,0.2857142857142857
mk3,mend2a,mexo1,fallback_top1_top1_a017,0.2435897435897436,0.3055555555555555,0.25
mk3,mend2a,mexo1,h1_router_fb_cortex_striatum,0.29914529914529914,0.33888888888888885,0.2857142857142857
mk3,mend2a,mexo1,new_primary_top3_top4_a007,0.2631072631072631,0.2833333333333333,0.32142857142857145
mk3,mend2b,mexo1,fallback_top1_top1_a017,0.5715170278637771,0.638888888888889,0.5714285714285714
mk3,mend2b,mexo1,h1_router_fb_cortex_striatum,0.6413255360623781,0.7055555555555556,0.6428571428571429
mk3,mend2b,mexo1,new_primary_top3_top4_a007,0.6013071895424836,0.6777777777777777,0.6071428571428571
mk3,mend3,mexo3,fallback_top1_top1_a017,0.3592592592592592,0.3611111111111111,0.35714285714285715
mk3,mend3,mexo3,h1_router_fb_cortex_striatum,0.3329205366357069,0.3333333333333333,0.32142857142857145
mk3,mend3,mexo3,new_primary_top3_top4_a007,0.3329205366357069,0.3333333333333333,0.32142857142857145
