holdout_control,holdout_endo,holdout_exo,strategy,macro_f1,balanced_accuracy,accuracy,n_rows_eval
mk3,mend3,mexo3,single1500_top1,0.3592592592592592,0.3611111111111111,0.35714285714285715,28
mk3,mend3,mexo3,single2900_top1,0.17543859649122806,0.3333333333333333,0.35714285714285715,28
mk3,mend3,mexo3,single1500_top3,0.3085592769803296,0.3,0.2857142857142857,28
mk3,mend3,mexo3,single2900_top4,0.17543859649122806,0.3333333333333333,0.35714285714285715,28
mk3,mend3,mexo3,fallback_top1_top1_a017,0.3592592592592592,0.3611111111111111,0.35714285714285715,28
mk3,mend3,mexo3,new_primary_top3_top4_a007,0.3329205366357069,0.3333333333333333,0.32142857142857145,28
mk2a,mend2b,mexo3,single1500_top1,0.4692821939198751,0.47222222222222227,0.4722222222222222,36
mk2a,mend2b,mexo3,single2900_top1,0.16666666666666666,0.3333333333333333,0.3333333333333333,36
mk2a,mend2b,mexo3,single1500_top3,0.5562318840579711,0.5555555555555557,0.5555555555555556,36
mk2a,mend2b,mexo3,single2900_top4,0.16666666666666666,0.3333333333333333,0.3333333333333333,36
mk2a,mend2b,mexo3,fallback_top1_top1_a017,0.4393939393939394,0.4444444444444445,0.4444444444444444,36
mk2a,mend2b,mexo3,new_primary_top3_top4_a007,0.5207847707847708,0.5277777777777778,0.5277777777777778,36
mk2b,mend2b,mexo2a,single1500_top1,0.6861471861471862,0.6944444444444443,0.6944444444444444,36
mk2b,mend2b,mexo2a,single2900_top1,0.16666666666666666,0.3333333333333333,0.3333333333333333,36
mk2b,mend2b,mexo2a,single1500_top3,0.6861471861471862,0.6944444444444443,0.6944444444444444,36
mk2b,mend2b,mexo2a,single2900_top4,0.16666666666666666,0.3333333333333333,0.3333333333333333,36
mk2b,mend2b,mexo2a,fallback_top1_top1_a017,0.6815044858523119,0.6944444444444445,0.6944444444444444,36
mk2b,mend2b,mexo2a,new_primary_top3_top4_a007,0.5632798573975045,0.611111111111111,0.6111111111111112,36
mk3,mend2a,mexo1,single1500_top1,0.2435897435897436,0.3055555555555555,0.25,28
mk3,mend2a,mexo1,single2900_top1,0.17543859649122806,0.3333333333333333,0.35714285714285715,28
mk3,mend2a,mexo1,single1500_top3,0.2435897435897436,0.3055555555555555,0.25,28
mk3,mend2a,mexo1,single2900_top4,0.28221887045416455,0.31111111111111106,0.35714285714285715,28
mk3,mend2a,mexo1,fallback_top1_top1_a017,0.2435897435897436,0.3055555555555555,0.25,28
mk3,mend2a,mexo1,new_primary_top3_top4_a007,0.2631072631072631,0.2833333333333333,0.32142857142857145,28
mk2b,mend2a,mexo3,single1500_top1,0.4973544973544974,0.49999999999999994,0.5,36
mk2b,mend2a,mexo3,single2900_top1,0.262140859394864,0.27777777777777773,0.2777777777777778,36
mk2b,mend2a,mexo3,single1500_top3,0.5515942028985507,0.5555555555555556,0.5555555555555556,36
mk2b,mend2a,mexo3,single2900_top4,0.16892911010558068,0.2222222222222222,0.2222222222222222,36
mk2b,mend2a,mexo3,fallback_top1_top1_a017,0.5555555555555555,0.5555555555555555,0.5555555555555556,36
mk2b,mend2a,mexo3,new_primary_top3_top4_a007,0.514985380116959,0.5277777777777778,0.5277777777777778,36
mk3,mend2b,mexo1,single1500_top1,0.5715170278637771,0.638888888888889,0.5714285714285714,28
mk3,mend2b,mexo1,single2900_top1,0.17543859649122806,0.3333333333333333,0.35714285714285715,28
mk3,mend2b,mexo1,single1500_top3,0.5715170278637771,0.638888888888889,0.5714285714285714,28
mk3,mend2b,mexo1,single2900_top4,0.17543859649122806,0.3333333333333333,0.35714285714285715,28
mk3,mend2b,mexo1,fallback_top1_top1_a017,0.5715170278637771,0.638888888888889,0.5714285714285714,28
mk3,mend2b,mexo1,new_primary_top3_top4_a007,0.6013071895424836,0.6777777777777777,0.6071428571428571,28
mk1,mend3,mexo2a,single1500_top1,0.4358974358974359,0.47222222222222215,0.5833333333333334,24
mk1,mend3,mexo2a,single2900_top1,0.2222222222222222,0.3333333333333333,0.5,24
mk1,mend3,mexo2a,single1500_top3,0.5042735042735043,0.5833333333333334,0.6666666666666666,24
mk1,mend3,mexo2a,single2900_top4,0.2222222222222222,0.3333333333333333,0.5,24
mk1,mend3,mexo2a,fallback_top1_top1_a017,0.4382716049382716,0.47222222222222215,0.5833333333333334,24
mk1,mend3,mexo2a,new_primary_top3_top4_a007,0.4523809523809524,0.5,0.625,24
mk3,mend1,mexo2b,single1500_top1,0.2803418803418803,0.3,0.2857142857142857,28
mk3,mend1,mexo2b,single2900_top1,0.17543859649122806,0.3333333333333333,0.35714285714285715,28
mk3,mend1,mexo2b,single1500_top3,0.2803418803418803,0.3,0.2857142857142857,28
mk3,mend1,mexo2b,single2900_top4,0.17543859649122806,0.3333333333333333,0.35714285714285715,28
mk3,mend1,mexo2b,fallback_top1_top1_a017,0.2803418803418803,0.3,0.2857142857142857,28
mk3,mend1,mexo2b,new_primary_top3_top4_a007,0.2803418803418803,0.3,0.2857142857142857,28
