run_id,created_utc,experiment_name,center,sample_level,model_family,n_samples,macro_f1,balanced_accuracy,auc_ovr_macro,accuracy,config_hash_sha256,data_fingerprint_sha256,git_commit,git_dirty
20260307_012502_p2lk_1500_ramannet_ss11__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p2lk_1500_ramannet_ss11__1500,2026-03-07T01:25:03.033467+00:00,p2lk_1500_ramannet_ss11__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p2lk_1500_ramannet_ss11__1500,1500,file_mean,ramannet,118,0.6159989526053941,0.6209150326797386,0.7951286764705882,0.6170212765957447,6c212afe6f315b28c5e795988011a3c37e2d1d254908b366d9dc06a122247854,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_012526_p2lk_1500_ramannet_ss22__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m02_p2lk_1500_ramannet_ss22__1500,2026-03-07T01:25:26.442755+00:00,p2lk_1500_ramannet_ss22__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m02_p2lk_1500_ramannet_ss22__1500,1500,file_mean,ramannet,118,0.5807017543859649,0.5869281045751634,0.7399407679738562,0.5957446808510638,aee30c96734d711e0a6474d38e0c86e9b894ba8ef643cdc77c46d97556d2ca6a,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_012542_p2lk_1500_ramannet_ss33__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m03_p2lk_1500_ramannet_ss33__1500,2026-03-07T01:25:42.821977+00:00,p2lk_1500_ramannet_ss33__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m03_p2lk_1500_ramannet_ss33__1500,1500,file_mean,ramannet,118,0.6080681620587723,0.6130718954248365,0.849734477124183,0.6170212765957447,1c2e6cb4d00b4be3d4e1046a16274714d81357949a8a03f2d5c8300394fcd5cb,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_012557_p2lk_1500_ramannet_ss42__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m04_p2lk_1500_ramannet_ss42__1500,2026-03-07T01:25:57.686949+00:00,p2lk_1500_ramannet_ss42__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m04_p2lk_1500_ramannet_ss42__1500,1500,file_mean,ramannet,118,0.5705076998180446,0.5699346405228758,0.7516850490196078,0.574468085106383,ba4ee212d4c9b257c2189ca937eb5362f43e20f8c5f01e4d8470745a4ebbbb24,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_012648_p2lk_2900_trpatch8_ss11__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p2lk_2900_trpatch8_ss11__2900,2026-03-07T01:26:49.026118+00:00,p2lk_2900_trpatch8_ss11__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p2lk_2900_trpatch8_ss11__2900,2900,file_mean,spectral_transformer,118,0.6310391363022941,0.6509803921568628,0.7110294117647059,0.6382978723404256,47af65610f9df9e0c66429573779289d00b7312b6ac8ee17892c09ee6534a345,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_012752_p2lk_2900_trpatch8_ss22__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m02_p2lk_2900_trpatch8_ss22__2900,2026-03-07T01:27:52.285390+00:00,p2lk_2900_trpatch8_ss22__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m02_p2lk_2900_trpatch8_ss22__2900,2900,file_mean,spectral_transformer,118,0.6295739348370927,0.6352941176470588,0.800796568627451,0.6382978723404256,4faa448e15dae4e95474b330aa17ee6a3fb363d9555476d0e5f77c633d7df6cc,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_012855_p2lk_2900_trpatch8_ss33__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m03_p2lk_2900_trpatch8_ss33__2900,2026-03-07T01:28:55.147358+00:00,p2lk_2900_trpatch8_ss33__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m03_p2lk_2900_trpatch8_ss33__2900,2900,file_mean,spectral_transformer,118,0.43790849673202614,0.5490196078431372,0.8534313725490197,0.5531914893617021,4030c7cedf555c0456f0d1474d4d10953e9e6ba58f9623cce5078406945ae254,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_012955_p2lk_2900_trpatch8_ss42__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m04_p2lk_2900_trpatch8_ss42__2900,2026-03-07T01:29:55.238110+00:00,p2lk_2900_trpatch8_ss42__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m04_p2lk_2900_trpatch8_ss42__2900,2900,file_mean,spectral_transformer,118,0.6271929824561403,0.6352941176470589,0.6496834150326797,0.6382978723404256,7c94bd51ce68df2eb8778387d752510a9a4b9e003a02f24ed82b64fe71436f65,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_013018_p2lk_1500_ramannet_ss11__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,2026-03-07T01:30:18.359345+00:00,p2lk_1500_ramannet_ss11__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,1500,file_mean,ramannet,118,0.7053988157436434,0.7087301587301588,0.8828636455073235,0.7195121951219512,064c8696ec56fcd5ad79918073b54eedd5f085f0f8cbeb4b3c2ef3b0b402f35b,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_013042_p2lk_1500_ramannet_ss22__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,2026-03-07T01:30:43.139775+00:00,p2lk_1500_ramannet_ss22__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,1500,file_mean,ramannet,118,0.6993497425154928,0.7067460317460318,0.8856492007354076,0.7195121951219512,20828a8c1bbb4508b6c5405538cbabf60ebbbd34525d9acae34caf25468fbcb2,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
