holdout_control,holdout_endo,holdout_exo,triplet_seed,center,cfg_tag,base_cfg_path,generated_cfg_path,run_id,run_dir,n_holdout_rows
mk1,mend3,mexo2a,42,1500,m01_p5_1500_file_mean_arpls_msc_catboost,configs/experiment/protocol5_core/p5_1500_file_mean_arpls_msc_catboost.yaml,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/tmp_configs/p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500.yaml,20260307_010658_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/train_runs/20260307_010658_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,24
mk1,mend3,mexo2a,42,2900,m01_p5_2900_file_mean_airpls_snv_logreg,configs/experiment/protocol5_core/p5_2900_file_mean_airpls_snv_logreg.yaml,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/tmp_configs/p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900.yaml,20260307_010837_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/train_runs/20260307_010837_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,24
mk2a,mend2b,mexo3,42,1500,m01_p5_1500_file_mean_arpls_msc_catboost,configs/experiment/protocol5_core/p5_1500_file_mean_arpls_msc_catboost.yaml,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/tmp_configs/p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500.yaml,20260307_010924_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/train_runs/20260307_010924_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,36
mk2a,mend2b,mexo3,42,2900,m01_p5_2900_file_mean_airpls_snv_logreg,configs/experiment/protocol5_core/p5_2900_file_mean_airpls_snv_logreg.yaml,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/tmp_configs/p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900.yaml,20260307_010945_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/train_runs/20260307_010945_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,36
mk2b,mend2a,mexo3,42,1500,m01_p5_1500_file_mean_arpls_msc_catboost,configs/experiment/protocol5_core/p5_1500_file_mean_arpls_msc_catboost.yaml,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/tmp_configs/p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500.yaml,20260307_011027_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/train_runs/20260307_011027_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,36
mk2b,mend2a,mexo3,42,2900,m01_p5_2900_file_mean_airpls_snv_logreg,configs/experiment/protocol5_core/p5_2900_file_mean_airpls_snv_logreg.yaml,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/tmp_configs/p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900.yaml,20260307_011049_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/train_runs/20260307_011049_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,36
mk2b,mend2b,mexo2a,42,1500,m01_p5_1500_file_mean_arpls_msc_catboost,configs/experiment/protocol5_core/p5_1500_file_mean_arpls_msc_catboost.yaml,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/tmp_configs/p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500.yaml,20260307_011134_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/train_runs/20260307_011134_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,36
mk2b,mend2b,mexo2a,42,2900,m01_p5_2900_file_mean_airpls_snv_logreg,configs/experiment/protocol5_core/p5_2900_file_mean_airpls_snv_logreg.yaml,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/tmp_configs/p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900.yaml,20260307_011150_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/train_runs/20260307_011150_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,36
mk3,mend1,mexo2b,42,1500,m01_p5_1500_file_mean_arpls_msc_catboost,configs/experiment/protocol5_core/p5_1500_file_mean_arpls_msc_catboost.yaml,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/tmp_configs/p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500.yaml,20260307_011237_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/train_runs/20260307_011237_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,28
mk3,mend1,mexo2b,42,2900,m01_p5_2900_file_mean_airpls_snv_logreg,configs/experiment/protocol5_core/p5_2900_file_mean_airpls_snv_logreg.yaml,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/tmp_configs/p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900.yaml,20260307_011300_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,runs/analysis/hyp_v2_h1_train_aware_sanity_fast_20260307/train_runs/20260307_011300_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,28
