run_id,created_utc,experiment_name,center,sample_level,model_family,n_samples,macro_f1,balanced_accuracy,auc_ovr_macro,accuracy,config_hash_sha256,data_fingerprint_sha256,git_commit,git_dirty
20260307_010658_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T01:06:59.022287+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.15825727944372012,0.1627450980392157,0.3079963235294118,0.1595744680851064,9741837001884ba27c364c715040bda281d9387ab7baf1a92493a5ace15953fd,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_010837_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T01:08:37.127315+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.1447460896000523,0.15294117647058822,0.29618055555555556,0.14893617021276595,0648ba024747f977184e579da4617b2bafcda76035d31ac714aeb5b722d635c6,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_010924_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T01:09:24.282182+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.32905982905982906,0.342063492063492,0.540175384428258,0.36585365853658536,cea192c8d608722df47204bfc54f74177384a748b2ec2109147b8cb7776c18da,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_010945_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T01:09:45.574483+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.3279082623060408,0.34682539682539687,0.5266384105464565,0.36585365853658536,d244a4912b41e46bf516cb587c6779ae4e13f38f76f4c15248be22e5a7ebc2d0,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011027_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T01:10:28.187373+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.2550422901756669,0.25,0.46905007508455787,0.2682926829268293,6ef12f8743f21e1052a159ab9cca08121fc2ca5372cebfd06467bd9418ef28d7,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011049_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T01:10:49.176370+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.2436868686868687,0.2638888888888889,0.46687964015550226,0.2804878048780488,495b0d5c0b5b800acbf8da9ca7c278a7ab41d578591eff6904bc76c7011b5245,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011134_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T01:11:34.565178+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.19179894179894177,0.20079365079365077,0.34287532922590397,0.21951219512195122,0b58b224490e7df5efff14f9ca9325d278dfb831aecdc4c8bcb19dac2f96b57d,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011150_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T01:11:50.147714+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.1884920634920635,0.18888888888888888,0.31300863355461056,0.1951219512195122,04fd65b861479b0d2ea9e8438d75bd04f3f38bc93f3ce3e3d99d135732aa0a55,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011237_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T01:12:37.628587+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.3680158068599302,0.3666666666666667,0.46444444444444444,0.36666666666666664,8c06ab725f5bf1b0d610746d6a655d46a3a5c50987585745c594af5f0bc6f592,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011300_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T01:13:01.027446+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.36598062953995164,0.3666666666666667,0.5385185185185185,0.36666666666666664,3d4f2611e4f1fcbc247c9745019ddc810cb7b7dff9f4a524c328f90b30e0c6ca,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
