holdout_control,holdout_endo,holdout_exo,strategy,macro_f1,balanced_accuracy,accuracy
mk1,mend3,mexo2a,fallback_top1_top1_a017,0.49880525686977295,0.5,0.625
mk1,mend3,mexo2a,h1_random_router_p50,0.49880525686977295,0.5,0.625
mk1,mend3,mexo2a,h1_router_fb_cortex_striatum,0.49880525686977295,0.5,0.625
mk1,mend3,mexo2a,h1_router_region_permute_fb_cortex_striatum,0.49880525686977295,0.5,0.625
mk1,mend3,mexo2a,new_primary_top3_top4_a007,0.49880525686977295,0.5,0.625
mk2a,mend2b,mexo3,fallback_top1_top1_a017,0.3080276448697501,0.3055555555555555,0.3055555555555556
mk2a,mend2b,mexo3,h1_random_router_p50,0.3041666666666667,0.3055555555555555,0.3055555555555556
mk2a,mend2b,mexo3,h1_router_fb_cortex_striatum,0.3041666666666667,0.3055555555555555,0.3055555555555556
mk2a,mend2b,mexo3,h1_router_region_permute_fb_cortex_striatum,0.3041666666666667,0.3055555555555555,0.3055555555555556
mk2a,mend2b,mexo3,new_primary_top3_top4_a007,0.32822966507177037,0.3333333333333333,0.3333333333333333
mk2b,mend2a,mexo3,fallback_top1_top1_a017,0.4398444160272805,0.47222222222222227,0.4722222222222222
mk2b,mend2a,mexo3,h1_random_router_p50,0.4398444160272805,0.47222222222222227,0.4722222222222222
mk2b,mend2a,mexo3,h1_router_fb_cortex_striatum,0.4398444160272805,0.47222222222222227,0.4722222222222222
mk2b,mend2a,mexo3,h1_router_region_permute_fb_cortex_striatum,0.4398444160272805,0.47222222222222227,0.4722222222222222
mk2b,mend2a,mexo3,new_primary_top3_top4_a007,0.4398444160272805,0.47222222222222227,0.4722222222222222
mk2b,mend2b,mexo2a,fallback_top1_top1_a017,0.6136200716845878,0.638888888888889,0.6388888888888888
mk2b,mend2b,mexo2a,h1_random_router_p50,0.6136200716845878,0.638888888888889,0.6388888888888888
mk2b,mend2b,mexo2a,h1_router_fb_cortex_striatum,0.6136200716845878,0.638888888888889,0.6388888888888888
mk2b,mend2b,mexo2a,h1_router_region_permute_fb_cortex_striatum,0.6136200716845878,0.638888888888889,0.6388888888888888
mk2b,mend2b,mexo2a,new_primary_top3_top4_a007,0.6136200716845878,0.638888888888889,0.6388888888888888
mk3,mend1,mexo2b,fallback_top1_top1_a017,0.46507936507936504,0.5333333333333333,0.5
mk3,mend1,mexo2b,h1_random_router_p50,0.46507936507936504,0.5333333333333333,0.5
mk3,mend1,mexo2b,h1_router_fb_cortex_striatum,0.46507936507936504,0.5333333333333333,0.5
mk3,mend1,mexo2b,h1_router_region_permute_fb_cortex_striatum,0.46507936507936504,0.5333333333333333,0.5
mk3,mend1,mexo2b,new_primary_top3_top4_a007,0.46507936507936504,0.5333333333333333,0.5
mk3,mend2a,mexo1,fallback_top1_top1_a017,0.38117283950617287,0.47222222222222227,0.42857142857142855
mk3,mend2a,mexo1,h1_random_router_p50,0.38117283950617287,0.47222222222222227,0.42857142857142855
mk3,mend2a,mexo1,h1_router_fb_cortex_striatum,0.38117283950617287,0.47222222222222227,0.42857142857142855
mk3,mend2a,mexo1,h1_router_region_permute_fb_cortex_striatum,0.38117283950617287,0.47222222222222227,0.42857142857142855
mk3,mend2a,mexo1,new_primary_top3_top4_a007,0.38117283950617287,0.47222222222222227,0.42857142857142855
mk3,mend2b,mexo1,fallback_top1_top1_a017,0.3253968253968254,0.4444444444444445,0.39285714285714285
mk3,mend2b,mexo1,h1_random_router_p50,0.3253968253968254,0.4444444444444445,0.39285714285714285
mk3,mend2b,mexo1,h1_router_fb_cortex_striatum,0.3253968253968254,0.4444444444444445,0.39285714285714285
mk3,mend2b,mexo1,h1_router_region_permute_fb_cortex_striatum,0.3253968253968254,0.4444444444444445,0.39285714285714285
mk3,mend2b,mexo1,new_primary_top3_top4_a007,0.3253968253968254,0.4444444444444445,0.39285714285714285
mk3,mend3,mexo3,fallback_top1_top1_a017,0.21114551083591335,0.25555555555555554,0.21428571428571427
mk3,mend3,mexo3,h1_random_router_p50,0.21114551083591335,0.25555555555555554,0.21428571428571427
mk3,mend3,mexo3,h1_router_fb_cortex_striatum,0.21114551083591335,0.25555555555555554,0.21428571428571427
mk3,mend3,mexo3,h1_router_region_permute_fb_cortex_striatum,0.21114551083591335,0.25555555555555554,0.21428571428571427
mk3,mend3,mexo3,new_primary_top3_top4_a007,0.21114551083591335,0.25555555555555554,0.21428571428571427
