run_id,created_utc,experiment_name,center,sample_level,model_family,n_samples,macro_f1,balanced_accuracy,auc_ovr_macro,accuracy,config_hash_sha256,data_fingerprint_sha256,git_commit,git_dirty
20260307_011524_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T01:15:25.092343+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.15825727944372012,0.1627450980392157,0.3079963235294118,0.1595744680851064,c6da7476f77f0ac6e88334d3b135ed77e56690d42b553a091967d002a385fec4,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011554_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T01:15:54.886959+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.1447460896000523,0.15294117647058822,0.29618055555555556,0.14893617021276595,41e9b1b7620d559cbc1c892437604ec3a522ee10d08c04d058e11ee72246239b,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011652_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T01:16:53.056986+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.32905982905982906,0.342063492063492,0.540175384428258,0.36585365853658536,a8993341e4822f841bfad95a0b3bf7a3dbbdbb1e37d6c214a090ea2bcd486d32,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011711_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T01:17:11.429668+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.3279082623060408,0.34682539682539687,0.5266384105464565,0.36585365853658536,f5889c13f5eb16bc625285cf9184a4b51fd92131c2814a406af9bf6a43259769,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011757_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T01:17:57.257016+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.2550422901756669,0.25,0.46905007508455787,0.2682926829268293,8d1b218eb5a5d559aa706cda5c63b142b8abbba78bca2bcecc8deca3b699f970,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011809_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T01:18:09.526476+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.2436868686868687,0.2638888888888889,0.46687964015550226,0.2804878048780488,ec4b91e0205b8728eb59c176c84231966feba48f6fa29caa1d44fc7ec7789daf,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011851_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T01:18:51.143838+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.19179894179894177,0.20079365079365077,0.34287532922590397,0.21951219512195122,254235a46d68b86b77b7c85fee22877acd760a1b0c537286e0368f8bf7c74262,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011903_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T01:19:03.126625+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.1884920634920635,0.18888888888888888,0.31300863355461056,0.1951219512195122,5bd9b4b1be0b5780d3c8c23a05394c2aac00e52a94d7c50f9aa2471239617107,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011943_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T01:19:43.401233+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.3680158068599302,0.3666666666666667,0.46444444444444444,0.36666666666666664,2c244391c97acbb4c48e249ceb2e5bde5a65f9a30464685cc6bbed322c704127,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_011959_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T01:19:59.888147+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.36598062953995164,0.3666666666666667,0.5385185185185185,0.36666666666666664,ed3523a2cc0d4c50664e638ac968c44a2a45bc7abd19d9fc6718a1b51674c40b,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_012037_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T01:20:38.118681+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.36827094474153305,0.3796296296296296,0.5466127322608805,0.4111111111111111,f99a74fbd821a6ef46d99594984eb975d65416c0c8cc01ef4be2722b5750982d,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_012051_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T01:20:51.493203+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.4846272466409766,0.4824074074074074,0.670281830652201,0.4888888888888889,b1503ac5d0a767f8b74208c0d877b8dd94dd8191cec0ebe375202882e2d6ebda,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_012129_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend2b__x-mexo1_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T01:21:29.321549+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend2b__x-mexo1_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.3440801576394797,0.3685185185185185,0.5168727397431101,0.4111111111111111,565bdb5003f4f27195bd3523facc3f45f5b6f054f98e60823fcac3a627d4b9b7,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_012142_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend2b__x-mexo1_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T01:21:42.854670+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend2b__x-mexo1_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.4535668673599708,0.4537037037037037,0.6128042773413144,0.4666666666666667,dcc70a6c62e7ad15c4413a65f9ac3904003b16c7f0c4b217265976914f1ce237,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_012224_p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend3__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,2026-03-07T01:22:24.527579+00:00,p5_1500_file_mean_arpls_msc_catboost__h1ta_c-mk3__e-mend3__x-mexo3_s42__m01_p5_1500_file_mean_arpls_msc_catboost__1500,1500,file_mean,catboost,118,0.4159661127403063,0.4222222222222222,0.5672222222222222,0.4222222222222222,a101b7742dc08e8150cc4585f1740dfe4682c29c5ef9a9a98d166b6b3a43b4a3,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,bc5d1e2e2989dceb338602725c379355489814f3,true
20260307_012237_p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend3__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2026-03-07T01:22:37.477035+00:00,p5_2900_file_mean_airpls_snv_logreg__h1ta_c-mk3__e-mend3__x-mexo3_s42__m01_p5_2900_file_mean_airpls_snv_logreg__2900,2900,file_mean,logreg,118,0.4624280162928976,0.4666666666666666,0.6546296296296296,0.4666666666666667,5dae842bae8b029f56e442a3e20e22bcfe46addcf33ab0aa9a0f2723e8061f71,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,bc5d1e2e2989dceb338602725c379355489814f3,true
