holdout_control,holdout_endo,holdout_exo,strategy,macro_f1,balanced_accuracy,accuracy
mk2a,mend3,mexo3,fallback_top1_top1_a017,0.40881642512077293,0.3888888888888889,0.43333333333333335
mk2a,mend3,mexo3,h2_global_head_control,0.40881642512077293,0.3888888888888889,0.43333333333333335
mk2a,mend3,mexo3,h2_known_region_hier_lr,0.38055555555555554,0.3611111111111111,0.4
mk2a,mend3,mexo3,new_primary_top3_top4_a007,0.40881642512077293,0.3888888888888889,0.43333333333333335
mk3,mend2a,mexo1,fallback_top1_top1_a017,0.20476190476190478,0.25,0.21428571428571427
mk3,mend2a,mexo1,h2_global_head_control,0.2518518518518518,0.3055555555555555,0.25
mk3,mend2a,mexo1,h2_known_region_hier_lr,0.2243137254901961,0.3055555555555555,0.25
mk3,mend2a,mexo1,new_primary_top3_top4_a007,0.30501089324618735,0.3333333333333333,0.35714285714285715
mk3,mend2a,mexo2a,fallback_top1_top1_a017,0.31603553062178585,0.3888888888888889,0.4117647058823529
mk3,mend2a,mexo2a,h2_global_head_control,0.36904761904761907,0.4166666666666667,0.4411764705882353
mk3,mend2a,mexo2a,h2_known_region_hier_lr,0.34954954954954953,0.4166666666666667,0.4411764705882353
mk3,mend2a,mexo2a,new_primary_top3_top4_a007,0.36904761904761907,0.4166666666666667,0.4411764705882353
mk3,mend3,mexo2b,fallback_top1_top1_a017,0.28518518518518515,0.32222222222222224,0.2857142857142857
mk3,mend3,mexo2b,h2_global_head_control,0.28460038986354774,0.31666666666666665,0.2857142857142857
mk3,mend3,mexo2b,h2_known_region_hier_lr,0.24951267056530213,0.28888888888888886,0.25
mk3,mend3,mexo2b,new_primary_top3_top4_a007,0.3082010582010582,0.3333333333333333,0.32142857142857145
