run_dir,n_rows,n_holdout_rows,n_cv_rows,holdout_groups,holdout_mice_seen,cv_overlap_with_holdout_groups,holdout_rows_outside_holdout_groups,holdout_groups_missing_in_holdout_split,ok,center,holdout_control,holdout_endo,holdout_exo
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031224_p2lk_1500_ramannet_ss11__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,1500,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031237_p2lk_1500_ramannet_ss22__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,1500,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031250_p2lk_1500_ramannet_ss33__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,1500,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031304_p2lk_1500_ramannet_ss42__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,1500,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031354_p2lk_2900_trpatch8_ss11__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,2900,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031444_p2lk_2900_trpatch8_ss22__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,2900,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031546_p2lk_2900_trpatch8_ss33__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,2900,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031646_p2lk_2900_trpatch8_ss42__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,2900,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031710_p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p2lk_1500_ramannet_ss11__1500,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031732_p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m02_p2lk_1500_ramannet_ss22__1500,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031754_p2lk_1500_ramannet_ss33__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m03_p2lk_1500_ramannet_ss33__1500,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031811_p2lk_1500_ramannet_ss42__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m04_p2lk_1500_ramannet_ss42__1500,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031908_p2lk_2900_trpatch8_ss11__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032008_p2lk_2900_trpatch8_ss22__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032056_p2lk_2900_trpatch8_ss33__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032153_p2lk_2900_trpatch8_ss42__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032214_p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m01_p2lk_1500_ramannet_ss11__1500,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo2a
