strategy,n_rows,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,slice
new_primary_top3_top4_a007,4,0.3477689989039094,0.05024422173684904,0.3680555555555556,0.041666666666666685,0.3882703081232493,0.05849921434444947,cerebellum_stress
h2_global_head_control,4,0.3285790714709479,0.07279406324258059,0.35694444444444445,0.054314849540972106,0.35255602240896355,0.09893451250259061,cerebellum_stress
fallback_top1_top1_a017,4,0.3036997614224122,0.084327087784479,0.3375,0.06626033578820313,0.3362745098039216,0.10417419293479985,cerebellum_stress
h2_known_region_hier_lr,4,0.30098287529015083,0.07575811023405261,0.34305555555555556,0.05797952668316029,0.33529411764705885,0.09991345736154722,cerebellum_stress
new_primary_top3_top4_a007,4,0.3477689989039094,0.05024422173684904,0.3680555555555556,0.041666666666666685,0.3882703081232493,0.05849921434444947,full_region
h2_global_head_control,4,0.3285790714709479,0.07279406324258059,0.35694444444444445,0.054314849540972106,0.35255602240896355,0.09893451250259061,full_region
fallback_top1_top1_a017,4,0.3036997614224122,0.084327087784479,0.3375,0.06626033578820313,0.3362745098039216,0.10417419293479985,full_region
h2_known_region_hier_lr,4,0.30098287529015083,0.07575811023405261,0.34305555555555556,0.05797952668316029,0.33529411764705885,0.09991345736154722,full_region
new_primary_top3_top4_a007,4,0.3477689989039094,0.05024422173684904,0.3680555555555556,0.041666666666666685,0.3882703081232493,0.05849921434444947,overall
h2_global_head_control,4,0.3285790714709479,0.07279406324258059,0.35694444444444445,0.054314849540972106,0.35255602240896355,0.09893451250259061,overall
fallback_top1_top1_a017,4,0.3036997614224122,0.084327087784479,0.3375,0.06626033578820313,0.3362745098039216,0.10417419293479985,overall
h2_known_region_hier_lr,4,0.30098287529015083,0.07575811023405261,0.34305555555555556,0.05797952668316029,0.33529411764705885,0.09991345736154722,overall
