holdout_control,holdout_endo,holdout_exo,triplet_seed,center,cfg_tag,base_cfg_path,generated_cfg_path,run_id,run_dir,n_cv_rows,n_holdout_rows
mk2a,mend3,mexo3,42,1500,m01_p2lk_1500_ramannet_ss11,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss11.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss11__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500.yaml,20260307_031224_p2lk_1500_ramannet_ss11__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031224_p2lk_1500_ramannet_ss11__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,88,30
mk2a,mend3,mexo3,42,1500,m02_p2lk_1500_ramannet_ss22,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss22.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss22__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500.yaml,20260307_031237_p2lk_1500_ramannet_ss22__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031237_p2lk_1500_ramannet_ss22__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,88,30
mk2a,mend3,mexo3,42,1500,m03_p2lk_1500_ramannet_ss33,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss33.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss33__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500.yaml,20260307_031250_p2lk_1500_ramannet_ss33__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031250_p2lk_1500_ramannet_ss33__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,88,30
mk2a,mend3,mexo3,42,1500,m04_p2lk_1500_ramannet_ss42,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss42.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss42__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500.yaml,20260307_031304_p2lk_1500_ramannet_ss42__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031304_p2lk_1500_ramannet_ss42__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,88,30
mk2a,mend3,mexo3,42,2900,m01_p2lk_2900_trpatch8_ss11,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss11.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss11__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900.yaml,20260307_031354_p2lk_2900_trpatch8_ss11__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031354_p2lk_2900_trpatch8_ss11__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,88,30
mk2a,mend3,mexo3,42,2900,m02_p2lk_2900_trpatch8_ss22,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss22.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss22__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900.yaml,20260307_031444_p2lk_2900_trpatch8_ss22__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031444_p2lk_2900_trpatch8_ss22__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,88,30
mk2a,mend3,mexo3,42,2900,m03_p2lk_2900_trpatch8_ss33,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss33.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss33__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900.yaml,20260307_031546_p2lk_2900_trpatch8_ss33__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031546_p2lk_2900_trpatch8_ss33__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,88,30
mk2a,mend3,mexo3,42,2900,m04_p2lk_2900_trpatch8_ss42,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss42.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss42__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900.yaml,20260307_031646_p2lk_2900_trpatch8_ss42__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031646_p2lk_2900_trpatch8_ss42__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,88,30
mk3,mend2a,mexo1,42,1500,m01_p2lk_1500_ramannet_ss11,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss11.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p2lk_1500_ramannet_ss11__1500.yaml,20260307_031710_p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p2lk_1500_ramannet_ss11__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031710_p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p2lk_1500_ramannet_ss11__1500,90,28
mk3,mend2a,mexo1,42,1500,m02_p2lk_1500_ramannet_ss22,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss22.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m02_p2lk_1500_ramannet_ss22__1500.yaml,20260307_031732_p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m02_p2lk_1500_ramannet_ss22__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031732_p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m02_p2lk_1500_ramannet_ss22__1500,90,28
