run_id,created_utc,experiment_name,center,sample_level,model_family,n_samples,macro_f1,balanced_accuracy,auc_ovr_macro,accuracy,config_hash_sha256,data_fingerprint_sha256,git_commit,git_dirty
20260307_031224_p2lk_1500_ramannet_ss11__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,2026-03-07T03:12:24.304889+00:00,p2lk_1500_ramannet_ss11__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,1500,file_mean,ramannet,118,0.679266065970706,0.6785714285714285,0.8476464148877941,0.6818181818181818,c45dd3aae8a29d2078d672fc2e6afaf22fb6fe1eda8e5f51b0c33ba4d81ad7f3,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,b50f00604cdd98f561a53fc2772ea5072c8be551,true
20260307_031237_p2lk_1500_ramannet_ss22__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,2026-03-07T03:12:37.410950+00:00,p2lk_1500_ramannet_ss22__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,1500,file_mean,ramannet,118,0.638971972969979,0.6507936507936508,0.7992816091954023,0.6477272727272727,9a6117b489b14298cfa47a04575c6ef87eee3ca02e3d4c5313a1d56bb563f52a,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,b50f00604cdd98f561a53fc2772ea5072c8be551,true
20260307_031250_p2lk_1500_ramannet_ss33__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,2026-03-07T03:12:50.658289+00:00,p2lk_1500_ramannet_ss33__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,1500,file_mean,ramannet,118,0.7185185185185184,0.7230158730158731,0.8815749863163657,0.7272727272727273,f88a65137181e28b2f5bedf875f0f816a89cf6bc97374c8a7c390216f16f160b,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,b50f00604cdd98f561a53fc2772ea5072c8be551,true
20260307_031304_p2lk_1500_ramannet_ss42__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,2026-03-07T03:13:04.681528+00:00,p2lk_1500_ramannet_ss42__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,1500,file_mean,ramannet,118,0.5980524870917853,0.6238095238095238,0.8271688560481664,0.625,6520c734f7e991a3425f0dff21a4c6931c67bc8edc68161d55191be4c23a37a9,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,b50f00604cdd98f561a53fc2772ea5072c8be551,true
20260307_031354_p2lk_2900_trpatch8_ss11__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,2026-03-07T03:13:55.177020+00:00,p2lk_2900_trpatch8_ss11__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,2900,file_mean,spectral_transformer,118,0.5823529411764706,0.5952380952380952,0.8128352490421454,0.5909090909090909,6c8b689d9a76c99bdeaf76e998f6f38a2fb04289c5820738e7e02b880e7d1386,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,b50f00604cdd98f561a53fc2772ea5072c8be551,true
20260307_031444_p2lk_2900_trpatch8_ss22__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,2026-03-07T03:14:44.783615+00:00,p2lk_2900_trpatch8_ss22__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,2900,file_mean,spectral_transformer,118,0.6490196078431373,0.6619047619047619,0.779604542966612,0.6590909090909091,5b3b705480244953e03c079ff8dda12901a72a7264f47fb03c22c561a0d709f5,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,b50f00604cdd98f561a53fc2772ea5072c8be551,true
20260307_031546_p2lk_2900_trpatch8_ss33__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,2026-03-07T03:15:46.805282+00:00,p2lk_2900_trpatch8_ss33__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,2900,file_mean,spectral_transformer,118,0.6663372859025033,0.6761904761904761,0.7786193212917351,0.6818181818181818,501d7ca033d343fc688273849ba31795e5409f8cb5017086e8bb7025a587c37b,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,b50f00604cdd98f561a53fc2772ea5072c8be551,true
20260307_031646_p2lk_2900_trpatch8_ss42__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,2026-03-07T03:16:47.100863+00:00,p2lk_2900_trpatch8_ss42__h2ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,2900,file_mean,spectral_transformer,118,0.6490196078431373,0.6619047619047619,0.8392446633825944,0.6590909090909091,db3238cff14095ebb0cdc8821930a3a58747844c9b8480f316c535a3a1995de9,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,b50f00604cdd98f561a53fc2772ea5072c8be551,true
20260307_031710_p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p2lk_1500_ramannet_ss11__1500,2026-03-07T03:17:10.481183+00:00,p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p2lk_1500_ramannet_ss11__1500,1500,file_mean,ramannet,118,0.7641487641487642,0.7546296296296297,0.8940949619653322,0.7777777777777778,d180dd0c75830353b78fbcef55aae75aa0b14bf068621fcd4610639bec1ae450,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,b50f00604cdd98f561a53fc2772ea5072c8be551,true
20260307_031732_p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m02_p2lk_1500_ramannet_ss22__1500,2026-03-07T03:17:32.830976+00:00,p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m02_p2lk_1500_ramannet_ss22__1500,1500,file_mean,ramannet,118,0.6649953280090267,0.6638888888888889,0.8243621399176955,0.6777777777777778,b31b7c117b836e0f7507cdd283fc210c27aa43726b71d4a5d8d894219ac5b95c,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,b50f00604cdd98f561a53fc2772ea5072c8be551,true
