center,region,wn,score_f,n_samples
1500,cerebellum,930.273438,2.584126382985025,28
1500,cerebellum,931.446289,2.6908167272636554,28
1500,cerebellum,932.618164,1.8317893458726937,28
1500,cerebellum,933.790039,0.6856373197966854,28
1500,cerebellum,934.961914,1.0490889700998751,28
1500,cerebellum,936.133789,1.2042933121456547,28
1500,cerebellum,937.305664,1.1412282860674643,28
1500,cerebellum,938.476563,1.5494862119652368,28
1500,cerebellum,939.647461,0.9797443675266873,28
1500,cerebellum,940.817383,0.9547955812258836,28
1500,cerebellum,941.988281,0.6951244838457604,28
1500,cerebellum,943.158203,0.8947111902063061,28
1500,cerebellum,944.328125,0.7565287930018005,28
1500,cerebellum,945.498047,0.5981841467702987,28
1500,cerebellum,946.666992,0.1782572238975503,28
1500,cerebellum,947.835938,1.188616755178355,28
1500,cerebellum,949.004883,1.5884155817770151,28
1500,cerebellum,950.173828,0.9406464809305468,28
1500,cerebellum,951.342773,0.8989452039591959,28
1500,cerebellum,952.510742,1.388716208282431,28
1500,cerebellum,953.678711,1.5909937687946292,28
1500,cerebellum,954.84668,1.9997562280144319,28
1500,cerebellum,956.013672,3.5160888239397026,28
1500,cerebellum,957.181641,3.546166048829234,28
1500,cerebellum,958.348633,4.643492824159843,28
1500,cerebellum,959.514648,4.419981258703415,28
1500,cerebellum,960.681641,4.1372325497870825,28
1500,cerebellum,961.847656,2.7804706484780732,28
1500,cerebellum,963.013672,3.0254368006578907,28
1500,cerebellum,964.179688,3.059439905449052,28
1500,cerebellum,965.345703,1.5436539882018727,28
1500,cerebellum,966.510742,1.110610490496913,28
1500,cerebellum,967.675781,0.9559860198882398,28
1500,cerebellum,968.84082,0.7411214610725924,28
1500,cerebellum,970.004883,1.1671229039414868,28
1500,cerebellum,971.169922,2.2959452148820283,28
1500,cerebellum,972.333984,2.8861165610036927,28
1500,cerebellum,973.498047,2.9258014670131,28
1500,cerebellum,974.661133,2.948587910685875,28
1500,cerebellum,975.825195,2.4208393592401,28
1500,cerebellum,976.988281,0.2090545167255542,28
1500,cerebellum,978.151367,0.07814492206072801,28
1500,cerebellum,979.313477,0.0697411311612403,28
1500,cerebellum,980.476563,0.0779314296591513,28
1500,cerebellum,981.638672,0.15388553527865853,28
1500,cerebellum,982.800781,1.3423489927653336,28
1500,cerebellum,983.961914,2.1449122280569384,28
1500,cerebellum,985.124023,1.8157311797445335,28
1500,cerebellum,986.285156,1.6821767429839976,28
1500,cerebellum,987.446289,1.0715077931261572,28
1500,cerebellum,988.606445,0.9106961928953058,28
1500,cerebellum,989.767578,1.775918134220315,28
1500,cerebellum,990.927734,3.9209447982256505,28
1500,cerebellum,992.087891,11.041363594241414,28
1500,cerebellum,993.248047,28.595464869494897,28
1500,cerebellum,994.407227,1.4621005584039242,28
1500,cerebellum,995.566406,1.4406233355828613,28
1500,cerebellum,996.725586,5.254525032615331,28
1500,cerebellum,997.884766,7.963376497768141,28
1500,cerebellum,999.042969,11.245560140843356,28
1500,cerebellum,1000.202148,10.987681334418802,28
1500,cerebellum,1001.360352,11.15394056495704,28
1500,cerebellum,1002.517578,9.750311898995323,28
1500,cerebellum,1003.675781,8.934458129633105,28
1500,cerebellum,1004.833008,9.843332185974448,28
1500,cerebellum,1005.990234,12.808850867159963,28
1500,cerebellum,1007.147461,16.73061335755205,28
1500,cerebellum,1008.303711,16.106913481179035,28
1500,cerebellum,1009.459961,8.109170561504083,28
1500,cerebellum,1010.616211,4.537925340962,28
1500,cerebellum,1011.772461,2.3659391226165516,28
1500,cerebellum,1012.928711,4.803579883577709,28
1500,cerebellum,1014.083984,2.6713258759579515,28
1500,cerebellum,1015.239258,1.5763409028983868,28
1500,cerebellum,1016.394531,1.3772264358041786,28
1500,cerebellum,1017.548828,4.409323639471193,28
1500,cerebellum,1018.704102,9.111588122283159,28
1500,cerebellum,1019.858398,4.014816400397916,28
1500,cerebellum,1021.012695,4.81899029719819,28
1500,cerebellum,1022.166016,3.7883130756751777,28
1500,cerebellum,1023.319336,2.650655820368224,28
1500,cerebellum,1024.473633,3.6250825064828205,28
1500,cerebellum,1025.625977,3.601259968223484,28
1500,cerebellum,1026.779297,3.33478143939835,28
1500,cerebellum,1027.931641,2.1472583736589477,28
1500,cerebellum,1029.083984,3.6759850780272587,28
1500,cerebellum,1030.236328,4.770204476781168,28
1500,cerebellum,1031.388672,4.724440577587057,28
1500,cerebellum,1032.540039,2.1147441702120235,28
1500,cerebellum,1033.691406,1.4585420194797043,28
1500,cerebellum,1034.842773,0.38370212338801063,28
1500,cerebellum,1035.994141,0.681635159468977,28
1500,cerebellum,1037.144531,0.33043839826587196,28
1500,cerebellum,1038.294922,0.5655001917460434,28
1500,cerebellum,1039.445313,0.531233855006841,28
1500,cerebellum,1040.595703,1.0642442794957916,28
1500,cerebellum,1041.745117,4.087477571018698,28
1500,cerebellum,1042.895508,4.184163273543659,28
1500,cerebellum,1044.043945,2.5498279372097925,28
1500,cerebellum,1045.193359,5.843875174106483,28
1500,cerebellum,1046.342773,9.440008544809322,28
1500,cerebellum,1047.491211,11.6125729685824,28
1500,cerebellum,1048.639648,11.561251007571341,28
1500,cerebellum,1049.787109,13.08322619418936,28
1500,cerebellum,1050.935547,15.691165571156668,28
1500,cerebellum,1052.083008,20.012713829768572,28
1500,cerebellum,1053.230469,22.38320318494552,28
1500,cerebellum,1054.37793,33.00232908968118,28
1500,cerebellum,1055.524414,38.611296495911475,28
1500,cerebellum,1056.670898,43.02403722108895,28
1500,cerebellum,1057.817383,47.97525858884846,28
1500,cerebellum,1058.963867,49.359568876527234,28
1500,cerebellum,1060.110352,46.16533204895422,28
1500,cerebellum,1061.255859,37.60915773823168,28
1500,cerebellum,1062.401367,28.183263854307818,28
1500,cerebellum,1063.546875,20.4256083998816,28
1500,cerebellum,1064.691406,13.154967718499755,28
1500,cerebellum,1065.836914,8.956359334242027,28
1500,cerebellum,1066.981445,8.389490337435207,28
1500,cerebellum,1068.125977,10.631123176726925,28
1500,cerebellum,1069.269531,12.315682369061758,28
1500,cerebellum,1070.413086,10.959544233279594,28
1500,cerebellum,1071.556641,9.856846595916895,28
1500,cerebellum,1072.700195,8.861295432309356,28
1500,cerebellum,1073.84375,7.90729984407442,28
1500,cerebellum,1074.986328,6.514482159221522,28
1500,cerebellum,1076.128906,6.162119170630105,28
1500,cerebellum,1077.271484,5.909491748628977,28
1500,cerebellum,1078.414063,5.945138273752166,28
1500,cerebellum,1079.555664,5.405620037438015,28
1500,cerebellum,1080.697266,3.863546332836148,28
1500,cerebellum,1081.838867,0.9635298056291489,28
1500,cerebellum,1082.980469,0.6706807314742111,28
1500,cerebellum,1084.121094,1.150820229437686,28
1500,cerebellum,1085.261719,0.6316122496031157,28
1500,cerebellum,1086.402344,0.5964682239328544,28
1500,cerebellum,1087.542969,0.24603364468680264,28
1500,cerebellum,1088.682617,0.21092470416638429,28
1500,cerebellum,1089.823242,0.2388581178210555,28
1500,cerebellum,1090.962891,0.25426611222942347,28
1500,cerebellum,1092.101563,0.4091022390129044,28
1500,cerebellum,1093.241211,0.3310734355418075,28
1500,cerebellum,1094.379883,0.029218338603650727,28
1500,cerebellum,1095.518555,0.18398080821797638,28
1500,cerebellum,1096.657227,2.807660693604205,28
1500,cerebellum,1097.794922,6.252174324301964,28
1500,cerebellum,1098.932617,5.748379515062725,28
1500,cerebellum,1100.070313,3.421153457629439,28
1500,cerebellum,1101.208008,1.7028073882793124,28
1500,cerebellum,1102.345703,1.0647013663633627,28
1500,cerebellum,1103.482422,0.4741062607280246,28
1500,cerebellum,1104.619141,0.23294884154330714,28
1500,cerebellum,1105.755859,0.3075018261470005,28
1500,cerebellum,1106.891602,0.5355629047030767,28
1500,cerebellum,1108.02832,0.9713309606180605,28
1500,cerebellum,1109.164063,1.077331624116297,28
1500,cerebellum,1110.299805,1.957011964436876,28
1500,cerebellum,1111.43457,2.7209575892805575,28
1500,cerebellum,1112.569336,3.052120053623779,28
1500,cerebellum,1113.705078,3.9809047126464114,28
