center,region,wn,score_f,n_samples
1500,overall,930.273438,0.498204534295977,118
1500,overall,931.446289,0.4235905864278525,118
1500,overall,932.618164,2.2244460181779178,118
1500,overall,933.790039,2.4775302700677555,118
1500,overall,934.961914,2.4061400053648265,118
1500,overall,936.133789,2.4647482204024276,118
1500,overall,937.305664,2.4816157447661693,118
1500,overall,938.476563,3.7042499085755205,118
1500,overall,939.647461,7.167246222518714,118
1500,overall,940.817383,6.846349550757616,118
1500,overall,941.988281,8.163714026085497,118
1500,overall,943.158203,7.108687052372666,118
1500,overall,944.328125,6.557065876771224,118
1500,overall,945.498047,6.345463827795367,118
1500,overall,946.666992,2.8099022581296556,118
1500,overall,947.835938,2.99074072523069,118
1500,overall,949.004883,1.4089184069961653,118
1500,overall,950.173828,0.8432192249437251,118
1500,overall,951.342773,0.7653739084236238,118
1500,overall,952.510742,0.6686399753644527,118
1500,overall,953.678711,0.7064109288730036,118
1500,overall,954.84668,1.1273181325672192,118
1500,overall,956.013672,2.423662074836749,118
1500,overall,957.181641,3.7865357569772615,118
1500,overall,958.348633,4.821060907947728,118
1500,overall,959.514648,3.7182443461678236,118
1500,overall,960.681641,4.420618840341633,118
1500,overall,961.847656,4.536556304579646,118
1500,overall,963.013672,4.105862581867036,118
1500,overall,964.179688,2.272455165842741,118
1500,overall,965.345703,1.0749322173254292,118
1500,overall,966.510742,1.044420712198562,118
1500,overall,967.675781,0.9285062855560186,118
1500,overall,968.84082,1.0956380517353286,118
1500,overall,970.004883,1.467930485033436,118
1500,overall,971.169922,3.4813153684536458,118
1500,overall,972.333984,6.132904877592934,118
1500,overall,973.498047,5.227540096371975,118
1500,overall,974.661133,4.772108829252079,118
1500,overall,975.825195,4.513611055435932,118
1500,overall,976.988281,7.0869893048348125,118
1500,overall,978.151367,3.387511428014114,118
1500,overall,979.313477,2.2548334755222585,118
1500,overall,980.476563,2.045518399125899,118
1500,overall,981.638672,1.9160525055343243,118
1500,overall,982.800781,6.1807488107499555,118
1500,overall,983.961914,3.764480445384052,118
1500,overall,985.124023,5.120429911747799,118
1500,overall,986.285156,5.3038872264449,118
1500,overall,987.446289,4.223698803391426,118
1500,overall,988.606445,1.1470871085785974,118
1500,overall,989.767578,0.9873747237240028,118
1500,overall,990.927734,3.733130563201615,118
1500,overall,992.087891,3.356328183215826,118
1500,overall,993.248047,2.3613793268917673,118
1500,overall,994.407227,1.1627750647563586,118
1500,overall,995.566406,0.7358011141522549,118
1500,overall,996.725586,0.5075978949272685,118
1500,overall,997.884766,4.123121979700168,118
1500,overall,999.042969,6.4652331535224015,118
1500,overall,1000.202148,5.133415966141209,118
1500,overall,1001.360352,4.377729312925361,118
1500,overall,1002.517578,3.7089751987803545,118
1500,overall,1003.675781,3.0793926056764604,118
1500,overall,1004.833008,2.931222537356028,118
1500,overall,1005.990234,3.1120388038248534,118
1500,overall,1007.147461,3.7466015631070766,118
1500,overall,1008.303711,4.02717074089083,118
1500,overall,1009.459961,2.2513736879675537,118
1500,overall,1010.616211,2.6585604547621817,118
1500,overall,1011.772461,13.950480784825885,118
1500,overall,1012.928711,15.55122170446115,118
1500,overall,1014.083984,15.2391786326825,118
1500,overall,1015.239258,13.944210239879874,118
1500,overall,1016.394531,6.655467444443279,118
1500,overall,1017.548828,4.5463619735251894,118
1500,overall,1018.704102,5.425292714062132,118
1500,overall,1019.858398,1.8878787583232763,118
1500,overall,1021.012695,1.5785267497575768,118
1500,overall,1022.166016,1.7748491572435825,118
1500,overall,1023.319336,1.5160126949849368,118
1500,overall,1024.473633,0.7879188143845548,118
1500,overall,1025.625977,0.2938693324604642,118
1500,overall,1026.779297,1.2835399149582911,118
1500,overall,1027.931641,2.8821383971379473,118
1500,overall,1029.083984,3.089471997841798,118
1500,overall,1030.236328,4.482875950304683,118
1500,overall,1031.388672,5.069407780994131,118
1500,overall,1032.540039,5.071179736329829,118
1500,overall,1033.691406,5.606993285173894,118
1500,overall,1034.842773,6.78666622027117,118
1500,overall,1035.994141,11.405544129579146,118
1500,overall,1037.144531,3.9404194005605824,118
1500,overall,1038.294922,3.5650072802994774,118
1500,overall,1039.445313,3.2837140411027965,118
1500,overall,1040.595703,3.1589880148228797,118
1500,overall,1041.745117,4.370016730822887,118
1500,overall,1042.895508,2.8559778137338334,118
1500,overall,1044.043945,1.6916909372433384,118
1500,overall,1045.193359,1.2569268562320086,118
1500,overall,1046.342773,1.0731702101983849,118
1500,overall,1047.491211,0.5415747712461695,118
1500,overall,1048.639648,0.25993236776883183,118
1500,overall,1049.787109,0.12919023154443132,118
1500,overall,1050.935547,0.026901713080566332,118
1500,overall,1052.083008,0.34309857644613795,118
1500,overall,1053.230469,0.8954828871733062,118
1500,overall,1054.37793,2.4035822678893535,118
1500,overall,1055.524414,4.8970943079532905,118
1500,overall,1056.670898,7.3633061700941305,118
1500,overall,1057.817383,8.84018322782181,118
1500,overall,1058.963867,9.967710320174957,118
1500,overall,1060.110352,10.108492133810358,118
1500,overall,1061.255859,9.644501981933022,118
