center,region,band_id,wn_start,wn_end,wn_peak,score_mean_f,score_max_f,score_sum_f,n_features_in_band,n_samples
1500,overall,13,1451.255859,1489.476563,1478.887695,18.867438743269606,31.433806523612414,698.0952335009754,37,118
1500,overall,12,1410.613281,1450.19043,1440.59082,8.905147376612762,23.676286354517558,338.39560031128497,38,118
1500,overall,14,1490.535156,1529.526367,1490.535156,6.729983587990103,23.455965876769152,255.73937634362392,38,118
1500,overall,9,1291.183594,1329.474609,1291.183594,5.9681559145979675,21.549284010324183,214.85361292552682,36,118
1500,overall,8,1250.40332,1290.084961,1290.084961,5.475016287964314,20.73668980262372,202.5756026546796,37,118
1500,overall,4,1090.962891,1129.568359,1127.304688,5.420698642432527,15.283553786488257,189.72445248513847,35,118
1500,overall,18,1650.983398,1689.845703,1682.708008,4.621857455639834,9.453189634690515,180.25244076995352,39,118
1500,overall,2,1010.616211,1049.787109,1012.928711,4.503264443541804,15.55122170446115,157.61425552396312,35,118
1500,overall,23,1850.436523,1889.833984,1880.012695,4.180947402940352,8.435993975301868,171.41884352055442,41,118
1500,overall,11,1370.739258,1409.539063,1395.560547,4.052917474535711,10.797537979111889,149.95794655782132,37,118
1500,overall,19,1690.864258,1729.438477,1710.186523,3.9906659689549566,8.361453712966457,155.6359727892433,39,118
1500,overall,1,971.169922,1009.459961,976.988281,3.598805296094003,7.0869893048348125,122.3593800671961,34,118
1500,overall,26,1970.641602,1997.616211,1971.607422,3.2380500990872982,8.220665198801969,93.90345287353165,29,118
1500,overall,15,1530.576172,1569.277344,1537.918945,3.1131484701768475,11.342291351378375,118.29964186672021,38,118
1500,overall,3,1050.935547,1089.823242,1060.110352,3.0945214105125194,10.108492133810358,108.30824936793817,35,118
1500,overall,0,930.273438,970.004883,941.988281,3.0253142610090706,8.163714026085497,105.88599913531748,35,118
1500,overall,22,1810.742188,1849.448242,1822.681641,2.8913366996671925,11.433538400948,115.6534679866877,40,118
1500,overall,25,1930.882813,1969.675781,1956.131836,2.6990951593154144,9.167124546145986,110.662901531932,41,118
1500,overall,21,1770.74707,1809.746094,1800.771484,2.667215990317829,7.6991428783234115,106.68863961271316,40,118
1500,overall,5,1130.699219,1170.147461,1130.699219,2.6542515164680123,14.278568737586069,95.55305459284844,36,118
1500,overall,17,1610.803711,1649.957031,1620.102539,2.3639010646237333,7.496397780356415,92.19214152032559,39,118
1500,overall,16,1570.319336,1609.769531,1604.594727,2.2932795892944218,5.178324626308082,89.43790398248245,39,118
1500,overall,20,1730.450195,1769.743164,1735.503906,2.0719371767943238,6.847609675089137,82.87748707177295,40,118
1500,overall,7,1210.425781,1249.296875,1228.230469,2.0512738117523543,4.417344243557086,73.84585722308476,36,118
1500,overall,10,1330.564453,1369.657227,1353.40332,1.9819462585783227,6.1808639306087425,73.33201156739794,37,118
1500,overall,24,1890.81543,1929.90918,1902.574219,1.342094726705724,5.5209045803978505,55.02588379493468,41,118
1500,overall,6,1171.270508,1209.310547,1207.080078,1.2452832725396668,5.855233855082489,43.584914538888334,35,118
2900,overall,11,2900.8125,2940.519531,2913.818359,10.849569954932266,14.605324846748845,542.4784977466132,50,118
2900,overall,6,2700.847656,2739.902344,2723.813477,10.464040929258061,24.255439825973095,491.80992367512886,47,118
2900,overall,16,3101.227539,3140.674805,3120.610352,8.955061980412065,14.042835574888725,465.66322298142734,52,118
2900,overall,7,2740.74707,2780.279297,2763.501953,8.520315441959669,13.966569185784083,408.97514121406414,48,118
2900,overall,8,2781.117188,2820.28125,2781.117188,7.321653679847721,12.560528053504518,351.4393766326906,48,118
2900,overall,1,2501.051758,2540.145508,2536.605469,6.757152865095281,9.85424885967437,304.07187892928766,45,118
2900,overall,10,2860.736328,2899.999023,2881.230469,6.7068592431662974,15.03790097445154,328.63610291514857,49,118
2900,overall,5,2661.4375,2699.995117,2675.186523,6.336395033479817,11.116874662293595,291.47417154007155,46,118
2900,overall,2,2541.030273,2580.655273,2564.847656,6.2987835591898085,12.309254385791913,289.7440437227312,46,118
2900,overall,20,3261.345703,3284.467773,3265.083984,6.085594232948083,10.57853212843132,194.73901545433867,32,118
2900,overall,17,3141.444336,3180.522461,3146.060547,6.0707181690271845,14.298688284747161,315.6773447894136,52,118
2900,overall,15,3061.413086,3100.450195,3093.450195,5.73189487081012,17.069333896648786,292.3266384113161,51,118
2900,overall,14,3021.227539,3060.628906,3021.227539,5.140712886013852,6.5845869243996775,262.17635718670647,51,118
2900,overall,12,2941.326172,2980.663086,2960.638672,5.117444836804188,8.922956997003064,255.87224184020937,50,118
2900,overall,9,2821.111328,2859.914063,2846.744141,4.969221216461349,13.086049526406805,238.52261839014477,48,118
2900,overall,13,2981.461914,3020.435547,3016.474609,4.941703689407877,9.67729892136214,247.08518447039384,50,118
2900,overall,4,2620.798828,2660.577148,2657.132813,4.8312526985372335,10.580301351097406,227.06887683124998,47,118
2900,overall,0,2460.719727,2500.15918,2494.800781,3.7936447101815425,7.847180376886387,170.7140119581694,45,118
2900,overall,19,3220.75293,3260.597656,3238.84375,2.20775890819237,4.177759874220904,119.21898104238797,54,118
2900,overall,3,2581.532227,2619.929688,2583.285156,1.929727389919245,4.6190634973678115,86.83773254636603,45,118
2900,overall,18,3181.285156,3219.99707,3219.99707,1.7772937190663074,3.716780459879948,92.41927339144799,52,118
