center,region,band_id,wn_start,wn_end,wn_peak,score_mean_f,score_max_f,score_sum_f,n_features_in_band,n_samples
1500,cerebellum,3,1050.935547,1089.823242,1058.963867,15.199567696288787,49.359568876527234,531.9848693701075,35,28
1500,cerebellum,12,1410.613281,1450.19043,1414.90625,8.011457911242937,21.897166600935485,304.4354006272316,38,28
1500,cerebellum,10,1330.564453,1369.657227,1366.410156,7.163980045233761,23.80621791169319,265.06726167364917,37,28
1500,cerebellum,1,971.169922,1009.459961,993.248047,5.887016780001534,28.595464869494897,200.15857052005214,34,28
1500,cerebellum,5,1130.699219,1170.147461,1170.147461,5.275907745376527,16.36532377915479,189.93267883355497,36,28
1500,cerebellum,21,1770.74707,1809.746094,1788.782227,4.87912884471672,15.225056709985527,195.16515378866882,40,28
1500,cerebellum,6,1171.270508,1209.310547,1171.270508,4.6884450666440625,16.910532177403393,164.09557733254218,35,28
1500,cerebellum,9,1291.183594,1329.474609,1293.378906,4.448971338834963,23.264005294616894,160.16296819805868,36,28
1500,cerebellum,2,1010.616211,1049.787109,1049.787109,4.0427851487275435,13.08322619418936,141.49748020546403,35,28
1500,cerebellum,13,1451.255859,1489.476563,1462.963867,3.6035385585313837,8.451260203450643,133.3309266656612,37,28
1500,cerebellum,11,1370.739258,1409.539063,1370.739258,3.450584491517655,10.080258679796023,127.67162618615325,37,28
1500,cerebellum,19,1690.864258,1729.438477,1694.938477,2.886877606154408,5.960633793810067,112.58822664002192,39,28
1500,cerebellum,8,1250.40332,1290.084961,1290.084961,2.7029946276361545,7.107639288696237,100.01080122253772,37,28
1500,cerebellum,7,1210.425781,1249.296875,1218.222656,2.622275987301994,5.572347710016922,94.40193554287178,36,28
1500,cerebellum,23,1850.436523,1889.833984,1888.852539,2.616040898465331,8.839219653932314,107.25767683707858,41,28
1500,cerebellum,14,1490.535156,1529.526367,1509.539063,2.4483380071212957,4.8410015673666855,93.03684427060924,38,28
1500,cerebellum,4,1090.962891,1129.568359,1097.794922,2.3989844509032587,6.252174324301964,83.96445578161406,35,28
