alpha_1500,alpha_2900,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
0.99,0.010000000000000009,0.6178931109051592,0.618915343915344,0.6186440677966102,0.7722256247769725
1.0,0.0,0.6178931109051592,0.618915343915344,0.6186440677966102,0.771248255619244
0.85,0.15000000000000002,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7795105598058102
0.86,0.14,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7790710490004457
0.87,0.13,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7787322956129117
0.88,0.12,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7782782145587023
0.89,0.10999999999999999,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7778204631863167
0.9,0.09999999999999998,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7764776100141955
0.91,0.08999999999999997,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7754698399114317
0.92,0.07999999999999996,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7741330669283172
0.93,0.06999999999999995,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7735684779490941
0.94,0.06000000000000005,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7731107265767085
0.95,0.050000000000000044,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7730062988407019
0.96,0.040000000000000036,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7728909711740264
0.97,0.030000000000000027,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7727780533781817
0.98,0.020000000000000018,0.6092063492063492,0.6105820105820107,0.6101694915254238,0.7724453801796548
0.14,0.86,0.6028112703322601,0.6072751322751323,0.6016949152542372,0.7588533494984073
0.15,0.85,0.6028112703322601,0.6072751322751323,0.6016949152542372,0.7601841794396352
0.16,0.84,0.6028112703322601,0.6072751322751323,0.6016949152542372,0.7624936389859368
0.17,0.83,0.6028112703322601,0.6072751322751323,0.6016949152542372,0.7643927282245638
