alpha_1500,alpha_2900,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
0.55,0.44999999999999996,0.6456759545923633,0.6439153439153439,0.6440677966101694,0.7901940723185908
0.56,0.43999999999999995,0.6456759545923633,0.6439153439153439,0.6440677966101694,0.7903956981781115
0.57,0.43000000000000005,0.6456759545923633,0.6439153439153439,0.6440677966101694,0.7883559221171544
0.58,0.42000000000000004,0.6454834054834054,0.6439153439153439,0.6440677966101694,0.788140986456134
0.59,0.41000000000000003,0.6454834054834054,0.6439153439153439,0.6440677966101694,0.7871903479252644
0.6,0.4,0.6454834054834054,0.6439153439153439,0.6440677966101694,0.7865747924637526
0.68,0.31999999999999995,0.6454165379466584,0.6439153439153439,0.6440677966101694,0.7816346813458495
0.52,0.48,0.6375390077960458,0.635978835978836,0.635593220338983,0.7903177790212451
0.53,0.47,0.6375390077960458,0.635978835978836,0.635593220338983,0.7897787712453952
0.54,0.45999999999999996,0.6375390077960458,0.635978835978836,0.635593220338983,0.7898807891105708
0.61,0.39,0.6372900019958844,0.635978835978836,0.635593220338983,0.7858099490962136
0.62,0.38,0.6372900019958844,0.635978835978836,0.635593220338983,0.7846443749043236
0.63,0.37,0.6372900019958844,0.635978835978836,0.635593220338983,0.7839887790144529
0.64,0.36,0.6372900019958844,0.635978835978836,0.635593220338983,0.7835481187856027
0.65,0.35,0.6372900019958844,0.635978835978836,0.635593220338983,0.7830224208112527
0.66,0.33999999999999997,0.6372900019958844,0.635978835978836,0.635593220338983,0.7826994981199089
0.67,0.32999999999999996,0.6371646371646372,0.635978835978836,0.635593220338983,0.7824773328463958
0.84,0.16000000000000003,0.6371646371646372,0.635978835978836,0.635593220338983,0.7758885108853016
0.85,0.15000000000000002,0.6371646371646372,0.635978835978836,0.635593220338983,0.7750264693942487
0.86,0.14,0.6371624026039155,0.635978835978836,0.635593220338983,0.7736374694815004
0.87,0.13,0.6371624026039155,0.635978835978836,0.635593220338983,0.7731032814473121
0.88,0.12,0.6371624026039155,0.635978835978836,0.635593220338983,0.7724718952896102
0.89,0.10999999999999999,0.6371624026039155,0.635978835978836,0.635593220338983,0.772258220075935
0.9,0.09999999999999998,0.6371624026039155,0.635978835978836,0.635593220338983,0.7717142815345639
0.69,0.31000000000000005,0.6368253968253968,0.6346560846560846,0.635593220338983,0.7817427794000323
0.7,0.30000000000000004,0.6368253968253968,0.6346560846560846,0.635593220338983,0.7819722853098976
0.5,0.5,0.6289950890142033,0.6280423280423281,0.6271186440677966,0.7921511094810197
0.51,0.49,0.6289950890142033,0.6280423280423281,0.6271186440677966,0.7914080659748182
0.46,0.54,0.6289439284485724,0.6276455026455027,0.6271186440677966,0.7930372496803818
0.47,0.53,0.6289439284485724,0.6276455026455027,0.6271186440677966,0.7932388755399025
0.48,0.52,0.6289439284485724,0.6276455026455027,0.6271186440677966,0.7919700230354915
0.71,0.29000000000000004,0.6286319933378758,0.6267195767195767,0.6271186440677966,0.7820779734932494
0.72,0.28,0.6286319933378758,0.6267195767195767,0.6271186440677966,0.7819663161447501
0.73,0.27,0.6286319933378758,0.6267195767195767,0.6271186440677966,0.7813325201162171
0.74,0.26,0.6286319933378758,0.6267195767195767,0.6271186440677966,0.7809099894305286
0.75,0.25,0.6286319933378758,0.6267195767195767,0.6271186440677966,0.7807813519623532
0.76,0.24,0.6286319933378758,0.6267195767195767,0.6271186440677966,0.7798331233023146
0.77,0.22999999999999998,0.6286319933378758,0.6267195767195767,0.6271186440677966,0.779404512427619
0.78,0.21999999999999997,0.6286319933378758,0.6267195767195767,0.6271186440677966,0.778540061065735
0.79,0.20999999999999996,0.6286319933378758,0.6267195767195767,0.6271186440677966,0.7781066304493777
0.8,0.19999999999999996,0.6286319933378758,0.6267195767195767,0.6271186440677966,0.7774656048083518
0.81,0.18999999999999995,0.6286319933378758,0.6267195767195767,0.6271186440677966,0.7770504147590156
0.82,0.18000000000000005,0.6286319933378758,0.6267195767195767,0.6271186440677966,0.7765186365956586
0.83,0.17000000000000004,0.6286319933378758,0.6267195767195767,0.6271186440677966,0.7766230643316652
0.91,0.08999999999999997,0.6286176286176287,0.6267195767195767,0.6271186440677966,0.7717142815345639
0.92,0.07999999999999996,0.6286176286176287,0.6267195767195767,0.6271186440677966,0.7709712380283626
0.93,0.06999999999999995,0.6286176286176287,0.6267195767195767,0.6271186440677966,0.7707745429343632
0.94,0.06000000000000005,0.6286176286176287,0.6267195767195767,0.6271186440677966,0.7700326488516476
0.95,0.050000000000000044,0.6286176286176287,0.6267195767195767,0.6271186440677966,0.7700326488516476
0.96,0.040000000000000036,0.6286176286176287,0.6267195767195767,0.6271186440677966,0.7698274636978102
0.97,0.030000000000000027,0.6286176286176287,0.6267195767195767,0.6271186440677966,0.7697145459019655
0.98,0.020000000000000018,0.6286176286176287,0.6267195767195767,0.6271186440677966,0.7692920152162771
0.99,0.010000000000000009,0.6286176286176287,0.6267195767195767,0.6271186440677966,0.7683231361183864
1.0,0.0,0.6286176286176287,0.6267195767195767,0.6271186440677966,0.7675825024830161
0.44,0.56,0.6282372598162071,0.6276455026455027,0.6271186440677966,0.7934814692035488
0.45,0.55,0.6282372598162071,0.6276455026455027,0.6271186440677966,0.7928356238208614
0.49,0.51,0.6204378557319734,0.6197089947089948,0.6186440677966102,0.7918317460839925
0.38,0.62,0.619704162366701,0.6183862433862434,0.6186440677966102,0.7924125641391367
0.39,0.61,0.619704162366701,0.6183862433862434,0.6186440677966102,0.7921940691837998
0.4,0.6,0.619704162366701,0.6183862433862434,0.6186440677966102,0.791792188935963
0.41,0.5900000000000001,0.619704162366701,0.6183862433862434,0.6186440677966102,0.7944804161748964
0.42,0.5800000000000001,0.619704162366701,0.6183862433862434,0.6186440677966102,0.79349707785202
0.43,0.5700000000000001,0.619704162366701,0.6183862433862434,0.6186440677966102,0.7934886988160416
0.19,0.81,0.6146324428147373,0.6156084656084656,0.6186440677966102,0.774951939730502
0.31,0.69,0.6084322127005054,0.6078042328042329,0.6101694915254238,0.7899120194691439
0.32,0.6799999999999999,0.6084322127005054,0.6078042328042329,0.6101694915254238,0.7898852888422851
0.18,0.8200000000000001,0.6049137727380108,0.6063492063492063,0.6101694915254238,0.7735484805927682
0.33,0.6699999999999999,0.6003926757320078,0.5998677248677249,0.6016949152542372,0.7902022423684811
0.34,0.6599999999999999,0.6003926757320078,0.5998677248677249,0.6016949152542372,0.7909441364511967
0.3,0.7,0.5999332665999333,0.5994708994708994,0.6016949152542372,0.7893729006694348
0.2,0.8,0.5984901277584204,0.5993386243386244,0.6016949152542372,0.7756913129185273
0.21,0.79,0.5984901277584204,0.5993386243386244,0.6016949152542372,0.7765485346679185
0.36,0.64,0.5931495405179615,0.5932539682539683,0.5932203389830508,0.792029851834088
0.37,0.63,0.5931495405179615,0.5932539682539683,0.5932203389830508,0.7919000649424269
0.16,0.84,0.5926348751649957,0.5961640211640211,0.6016949152542372,0.7657330017246577
